model,dataset,device,precision,mean_ms,std_ms,p95_ms
APPNP,ogbn-arxiv,CPU,fp32,11.0428,0.092,
APPNP,ogbn-arxiv,CPU,int8,13.5042,0.1386,
APPNP,ogbn-arxiv,GPU,fp32,7.7216,0.2805,
APPNP,ogbn-arxiv,GPU,int8,6.7482,0.2161,
APPNP,ogbn-arxiv,NPU,fp32,11.1742,0.0832,
APPNP,ogbn-arxiv,NPU,int8,13.3864,0.0615,
APPNP,ogbn-products,CPU,fp32,11.9488,0.2743,
APPNP,ogbn-products,CPU,int8,13.9011,0.132,
APPNP,ogbn-products,GPU,fp32,7.624,0.096,
APPNP,ogbn-products,GPU,int8,7.088,0.0669,
APPNP,ogbn-products,NPU,fp32,11.2668,0.2181,
APPNP,ogbn-products,NPU,int8,14.5981,1.1412,
APPNP,ogbn-proteins,CPU,fp32,12.5782,0.2243,
APPNP,ogbn-proteins,CPU,int8,15.2631,0.865,
APPNP,ogbn-proteins,GPU,fp32,7.8645,0.2784,
APPNP,ogbn-proteins,GPU,int8,6.9409,0.1284,
APPNP,ogbn-proteins,NPU,fp32,12.5671,0.7115,
APPNP,ogbn-proteins,NPU,int8,14.6727,0.3689,
