model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,97664,0.097664,10.8508,0.1342,10.7301,10.9953,10.5173,11.1842,10.946,0.3266,10.5785,11.2028,12.7601,10.1348,11.7573,0.9913,0.0228,422.9052,11144733984,26352796,1018.1525,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,11.274933333333331,3806.089,0.0,0.0,0.0,2026-05-23T10:20:55.551823
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,97880,0.09788,13.3929,0.0909,13.296,13.4763,13.1671,13.6188,13.5348,0.1615,13.3559,13.6699,15.3409,13.1335,13.9361,0.9895,0.0129,156.2395,11153741024,71388721,824.0769,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,13.44024761904762,4806.244,0.0,0.0,0.0,2026-05-23T10:21:12.103604
APPNP_fp32,ogbn-proteins,ogbn-proteins,fp32,97664,0.097664,12.5039,0.2569,12.2094,12.6824,11.8656,13.1421,12.5713,0.4632,12.2409,13.1008,14.4289,11.4206,13.722,0.9946,0.0453,422.9052,11144733984,26352796,886.5193,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,12.129161904761906,4072.009,0.0,0.0,0.0,2026-05-23T10:21:42.932813
APPNP_int8,ogbn-proteins,ogbn-proteins,int8,97880,0.09788,14.5053,0.1379,14.3491,14.6101,14.1628,14.8479,14.6314,0.2253,14.3713,14.7649,17.0986,14.0718,15.191,0.9914,0.0187,156.2395,11153741024,71388721,762.3153,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,14.81565714285714,5253.871,0.0,0.0,0.0,2026-05-23T10:22:11.744194
APPNP_fp32,ogbn-products,ogbn-products,fp32,97664,0.097664,11.7355,0.4071,11.4096,12.1918,10.7243,12.7468,11.732,0.2679,11.5529,12.04,13.5538,11.0666,12.3975,1.0003,0.0366,422.9052,11144733984,26352796,949.9393,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,11.427428571428573,3899.629,0.0,0.0,0.0,2026-05-23T10:22:43.873126
APPNP_int8,ogbn-products,ogbn-products,int8,97880,0.09788,13.7916,0.4536,13.5174,14.3152,12.6648,14.9184,13.7225,0.1961,13.4997,13.8694,15.3523,13.2352,14.2097,1.005,0.0257,156.2395,11153741024,71388721,812.8097,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,13.86221904761905,4982.079,0.0,0.0,0.0,2026-05-23T10:23:14.604472
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,97664,0.097664,8.0158,0.2882,7.6912,8.2415,7.3,8.7316,7.6429,0.6247,6.9258,8.0689,8.7891,6.0911,9.1947,1.0488,0.0858,422.9052,11144733984,26352796,1458.183,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.919123809523809,3869.69,0.0,0.0,0.0,2026-05-23T10:23:33.462798
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,97880,0.09788,6.8288,0.0553,6.772,6.8824,6.6914,6.9662,6.9409,0.1733,6.8147,7.1385,8.2322,6.5104,7.3714,0.9839,0.026,156.2395,11153741024,71388721,1606.9624,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.158200000000001,3761.984,0.0,0.0,0.0,2026-05-23T10:24:04.870178
APPNP_fp32,ogbn-proteins,ogbn-proteins,fp32,97664,0.097664,8.3957,0.1927,8.1888,8.5699,7.9171,8.8743,8.2814,0.0553,8.2403,8.3442,9.2693,8.1441,8.4187,1.0138,0.0244,422.9052,11144733984,26352796,1345.7581,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,8.212704761904762,3975.455,0.0,0.0,0.0,2026-05-23T10:24:33.636998
APPNP_int8,ogbn-proteins,ogbn-proteins,int8,97880,0.09788,7.2517,0.092,7.1568,7.3404,7.0232,7.4802,7.4599,0.2739,7.1593,7.6953,8.6289,6.7795,8.1403,0.9721,0.0289,156.2395,11153741024,71388721,1495.1597,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.563914285714286,3879.11,0.0,0.0,0.0,2026-05-23T10:25:02.320509
APPNP_fp32,ogbn-products,ogbn-products,fp32,97664,0.097664,7.9084,0.4759,7.5143,8.4371,6.7261,9.0907,7.7271,0.3003,7.4162,8.0155,8.8725,6.9812,8.4731,1.0235,0.0639,422.9052,11144733984,26352796,1442.2886,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.412819047619048,3736.821,0.0,0.0,0.0,2026-05-23T10:25:34.059968
APPNP_int8,ogbn-products,ogbn-products,int8,97880,0.09788,7.211,0.422,6.8198,7.6582,6.1627,8.2593,7.142,0.0614,7.075,7.1955,8.3678,6.9895,7.2946,1.0097,0.0454,156.2395,11153741024,71388721,1561.7035,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.106285714285713,3831.115,0.0,0.0,0.0,2026-05-23T10:26:06.470644
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,97664,0.097664,11.3988,0.1304,11.2569,11.5133,11.0749,11.7227,11.5224,0.5929,11.1652,12.2068,14.6609,10.0496,12.9952,0.9893,0.0491,422.9052,11144733984,26352796,967.2213,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,12.154009523809522,4041.363,0.0,0.0,0.0,2026-05-23T10:26:21.303841
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,97880,0.09788,13.6342,0.1723,13.4392,13.766,13.2061,14.0623,13.7108,0.7976,13.2351,14.6316,16.0221,11.7293,15.6922,0.9944,0.044,156.2395,11153741024,71388721,813.5032,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,13.37624761904762,4773.444,0.0,0.0,0.0,2026-05-23T10:26:38.053845
APPNP_fp32,ogbn-proteins,ogbn-proteins,fp32,97664,0.097664,12.7325,0.454,12.4535,13.2563,11.6048,13.8602,12.5043,0.1311,12.3716,12.6337,14.9452,12.1787,12.83,1.0182,0.0303,422.9052,11144733984,26352796,891.2694,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,12.021733333333335,4030.603,0.0,0.0,0.0,2026-05-23T10:27:02.319634
APPNP_int8,ogbn-proteins,ogbn-proteins,int8,97880,0.09788,14.6365,0.1934,14.4524,14.838,14.1561,15.1169,14.4496,0.3949,14.0449,14.8339,16.3422,13.4686,15.4305,1.0129,0.0197,156.2395,11153741024,71388721,771.9092,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,13.819657142857144,4880.617,0.0,0.0,0.0,2026-05-23T10:27:28.823288
