model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
GCN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,103081,0.103081,7.5529,0.0727,7.5024,7.6363,7.3722,7.7336,7.6546,0.1698,7.4611,7.779,11.6483,7.2328,8.0763,0.9867,0.0135,449.0005,11144715111,24821164,1455.9585,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.931571428571428,2642.848,0.0,0.0,0.0,2026-05-23T10:40:31.303623
GCN_int8,ogbn-arxiv,ogbn-arxiv,int8,103251,0.103251,7.4804,0.1214,7.3495,7.5893,7.1789,7.7819,7.4511,0.0928,7.3657,7.5499,10.2791,7.2205,7.6817,1.0039,0.0117,164.3748,11153321373,67852969,1496.8732,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.384295238095239,2585.005,0.0,0.0,0.0,2026-05-23T10:40:43.724131
GCN_fp32,ogbn-proteins,ogbn-proteins,fp32,103081,0.103081,7.8992,0.514,7.5581,8.4904,6.6223,9.1761,8.0593,0.1816,7.9492,8.2689,11.0891,7.6082,8.5104,0.9801,0.0637,449.0005,11144715111,24821164,1382.8387,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.828666666666667,2645.688,0.0,0.0,0.0,2026-05-23T10:41:09.902678
GCN_int8,ogbn-proteins,ogbn-proteins,int8,103251,0.103251,8.0295,0.26,7.8374,8.3253,7.3837,8.6753,7.5595,0.3437,7.2634,7.9365,9.6845,6.7056,8.4134,1.0622,0.0124,164.3748,11153321373,67852969,1475.3988,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,8.269190476190477,2995.573,0.0,0.0,0.0,2026-05-23T10:41:32.845243
GCN_fp32,ogbn-products,ogbn-products,fp32,103081,0.103081,8.0146,0.624,7.6117,8.7334,6.4645,9.5648,8.0198,0.8448,7.5222,8.9952,11.2494,5.9212,10.1184,0.9994,0.1277,449.0005,11144715111,24821164,1389.6554,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,9.123714285714286,3021.35,0.0,0.0,0.0,2026-05-23T10:42:01.786598
GCN_int8,ogbn-products,ogbn-products,int8,103251,0.103251,7.3751,0.3043,7.1171,7.7107,6.6191,8.131,7.7361,0.4291,7.3636,8.2053,11.0243,6.6701,8.8021,0.9533,0.0734,164.3748,11153321373,67852969,1441.7239,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.34595238095238,2670.931,0.0,0.0,0.0,2026-05-23T10:42:26.772650
GCN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,103081,0.103081,7.6575,0.183,7.5297,7.8672,7.2029,8.1122,7.5184,0.123,7.4233,7.6572,8.524,7.2129,7.8238,1.0185,0.0314,449.0005,11144715111,24821164,1482.335,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.453495238095239,3687.074,0.0,0.0,0.0,2026-05-23T10:42:45.705766
GCN_fp32,ogbn-proteins,ogbn-proteins,fp32,103081,0.103081,6.5263,0.0421,6.4812,6.5645,6.4218,6.6309,6.5618,0.1615,6.4538,6.7474,7.6582,6.1605,6.963,0.9946,0.0164,449.0005,11144715111,24821164,1698.4363,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,,,,,,2026-05-23T10:44:06.940777
GCN_fp32,ogbn-products,ogbn-products,fp32,103081,0.103081,6.78,0.1831,6.5786,6.9364,6.3252,7.2349,6.7512,0.1547,6.6362,6.927,7.8154,6.367,7.1354,1.0043,0.0392,449.0005,11144715111,24821164,1650.7751,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,,,,,,2026-05-23T10:44:42.908338
GCN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,103081,0.103081,7.92,0.1996,7.6897,8.0421,7.4242,8.4157,8.1639,0.3131,7.8357,8.4593,12.3453,7.386,8.9417,0.9701,0.014,449.0005,11144715111,24821164,1365.1285,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,,,,,,2026-05-23T10:45:36.199354
GCN_fp32,ogbn-proteins,ogbn-proteins,fp32,103081,0.103081,7.3864,0.0931,7.3276,7.4937,7.1552,7.6176,7.347,0.6902,6.5629,7.8622,8.6356,5.6325,9.0615,1.0054,0.0923,449.0005,11144715111,24821164,1516.9066,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,,,,,,2026-05-23T10:46:01.688179
