model,dataset,device,precision,mean_ms,std_ms,p95_ms
GIN,ogbn-arxiv,CPU,fp32,44.5391,1.057,50.1786
GIN,ogbn-arxiv,CPU,int8,43.4171,1.171,49.6266
GIN,ogbn-arxiv,GPU,fp32,40.7246,0.8572,42.3775
GIN,ogbn-arxiv,GPU,int8,37.1554,0.917,38.2407
GIN,ogbn-arxiv,NPU,fp32,42.828,0.7312,48.0545
GIN,ogbn-arxiv,NPU,int8,41.4664,1.2852,45.7185
GIN,ogbn-products,CPU,fp32,43.2746,0.368,48.9665
GIN,ogbn-products,CPU,int8,41.5388,1.2413,47.1752
GIN,ogbn-products,GPU,fp32,38.1251,0.5583,39.1536
GIN,ogbn-products,GPU,int8,37.5334,0.8599,38.5575
GIN,ogbn-products,NPU,fp32,39.524,0.9873,44.4341
GIN,ogbn-products,NPU,int8,39.8384,0.6408,45.5191
GIN,ogbn-proteins,CPU,fp32,42.2243,0.4556,46.1779
GIN,ogbn-proteins,CPU,int8,43.1256,0.9615,49.1113
GIN,ogbn-proteins,GPU,fp32,37.5839,0.6426,38.6417
GIN,ogbn-proteins,GPU,int8,36.8976,0.5173,37.9492
GIN,ogbn-proteins,NPU,fp32,42.6796,0.8093,49.1667
GIN,ogbn-proteins,NPU,int8,40.3335,0.3081,45.8551
