model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
GIN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100565,0.100565,43.0708,1.2992,41.754,44.3517,39.8433,46.2983,42.828,0.7312,42.3728,43.6714,48.0545,41.0115,44.6445,1.0057,0.0277,21.1718,11234963672,530658112,262.3277,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,44.31849523809524,14211.734,0.0,0.0,0.0,2026-05-23T10:48:48.771769
GIN_int8,ogbn-arxiv,ogbn-arxiv,int8,100979,0.100979,41.799,0.8694,41.0837,42.7667,39.6392,43.9587,41.4664,1.2852,40.0987,42.6492,45.7185,38.2737,44.6591,1.008,0.0324,17.1584,11260080528,656243467,271.5474,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,43.248352380952376,13954.945,0.0,0.0,0.0,2026-05-23T10:49:23.520957
GIN_fp32,ogbn-proteins,ogbn-proteins,fp32,100565,0.100565,42.4546,0.2248,42.2784,42.7078,41.8961,43.0132,42.6796,0.8093,41.8751,43.4937,49.1667,40.6691,44.6901,0.9947,0.0188,21.1718,11234963672,530658112,263.2398,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,42.1572,13523.314,0.0,0.0,0.0,2026-05-23T10:50:12.455300
GIN_int8,ogbn-proteins,ogbn-proteins,int8,100979,0.100979,39.9169,0.355,39.5244,40.2156,39.0349,40.7988,40.3335,0.3081,40.0502,40.6616,45.8551,39.5681,41.0989,0.9897,0.0074,17.1584,11260080528,656243467,279.1744,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,40.25470476190476,12979.402,0.0,0.0,0.0,2026-05-23T10:50:55.703684
GIN_fp32,ogbn-products,ogbn-products,fp32,100565,0.100565,40.0219,1.3164,39.0701,41.5242,36.7517,43.2921,39.524,0.9873,38.5573,40.5306,44.4341,37.0715,41.9765,1.0126,0.0102,21.1718,11234963672,530658112,284.2568,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,39.07397142857143,12649.873,0.0,0.0,0.0,2026-05-23T10:51:45.720757
GIN_int8,ogbn-products,ogbn-products,int8,100979,0.100979,40.6717,2.0186,39.0261,42.9241,35.6573,45.6861,39.8384,0.6408,39.2107,40.4916,45.5191,38.2465,41.4303,1.0209,0.0405,17.1584,11260080528,656243467,282.644,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,40.52312380952382,13095.621,0.0,0.0,0.0,2026-05-23T10:52:31.438942
GIN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100565,0.100565,40.8818,0.8326,40.176,41.8,38.8135,42.9501,40.7246,0.8572,39.7431,41.3262,42.3775,38.5952,42.854,1.0039,0.0195,21.1718,11234963672,530658112,275.8766,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,39.66528571428572,13678.289,0.0,0.0,0.0,2026-05-23T10:53:10.789363
GIN_int8,ogbn-arxiv,ogbn-arxiv,int8,100979,0.100979,37.6886,0.5226,37.1106,38.1277,36.3904,38.9868,37.1554,0.917,36.2502,38.0838,38.2407,34.8774,39.4335,1.0143,0.0151,17.1584,11260080528,656243467,303.0534,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,36.19676190476191,12720.585,0.0,0.0,0.0,2026-05-23T10:53:50.939646
GIN_fp32,ogbn-proteins,ogbn-proteins,fp32,100565,0.100565,38.0516,0.6347,37.3804,38.6421,36.4749,39.6283,37.5839,0.6426,37.0533,38.2984,38.6417,35.9876,39.1802,1.0124,0.0277,21.1718,11234963672,530658112,298.9301,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,38.059266666666666,13222.824,0.0,0.0,0.0,2026-05-23T10:54:36.439803
GIN_int8,ogbn-proteins,ogbn-proteins,int8,100979,0.100979,36.3549,0.2342,36.1121,36.5795,35.7731,36.9368,36.8976,0.5173,36.3004,37.2081,37.9492,35.6125,38.1827,0.9853,0.0071,17.1584,11260080528,656243467,305.1711,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,37.075,13000.164,0.0,0.0,0.0,2026-05-23T10:55:21.606795
GIN_fp32,ogbn-products,ogbn-products,fp32,100565,0.100565,39.1737,0.2629,38.9105,39.4362,38.5207,39.8267,38.1251,0.5583,37.5804,38.696,39.1536,36.7382,39.5119,1.0275,0.0105,21.1718,11234963672,530658112,294.6871,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,38.37800952380952,13346.164,0.0,0.0,0.0,2026-05-23T10:56:12.056482
