model,dataset,device,precision,mean_ms,std_ms,p95_ms
GraphSAGE,ogbn-arxiv,CPU,fp32,43.6954,0.215,
GraphSAGE,ogbn-arxiv,CPU,int8,42.5428,0.1453,
GraphSAGE,ogbn-arxiv,GPU,fp32,51.6546,0.5458,
GraphSAGE,ogbn-arxiv,GPU,int8,36.516,0.4579,
GraphSAGE,ogbn-arxiv,NPU,fp32,43.8499,0.123,
GraphSAGE,ogbn-arxiv,NPU,int8,42.5134,0.3908,
GraphSAGE,ogbn-products,CPU,fp32,41.0843,1.7895,
GraphSAGE,ogbn-products,CPU,int8,39.9009,0.8112,
GraphSAGE,ogbn-products,GPU,fp32,48.8968,0.085,
GraphSAGE,ogbn-products,GPU,int8,36.3582,0.0313,
GraphSAGE,ogbn-products,NPU,fp32,41.0089,0.7873,
GraphSAGE,ogbn-products,NPU,int8,39.336,0.5931,
GraphSAGE,ogbn-proteins,CPU,fp32,41.4853,0.8819,
GraphSAGE,ogbn-proteins,CPU,int8,41.038,1.0924,
GraphSAGE,ogbn-proteins,GPU,fp32,48.6354,0.0566,
GraphSAGE,ogbn-proteins,GPU,int8,35.9642,0.08,
GraphSAGE,ogbn-proteins,NPU,fp32,41.536,0.6392,
GraphSAGE,ogbn-proteins,NPU,int8,41.4492,0.278,
