model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
GraphSAGE_fp32,ogbn-arxiv,ogbn-arxiv,fp32,204406,0.204406,46.3367,0.9553,45.249,47.0396,43.9637,48.7097,46.1392,0.7448,45.3365,46.8078,51.5121,44.2891,47.9893,1.0043,0.0048,42.2258,22334340760,528926840,484.0643,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,47.13965714285714,15254.034,0.0,0.0,0.0,2026-05-23T11:03:40.207614
GraphSAGE_int8,ogbn-arxiv,ogbn-arxiv,int8,204710,0.20471,44.3277,1.3896,42.918,45.6963,40.8756,47.7797,44.2664,0.5713,43.6436,44.7659,50.1765,42.8474,45.6855,1.0014,0.0336,36.3542,22351520488,614826290,504.9314,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,43.97641904761905,14353.696,0.0,0.0,0.0,2026-05-23T11:04:15.830784
GraphSAGE_fp32,ogbn-proteins,ogbn-proteins,fp32,204406,0.204406,45.7445,0.7552,45.1059,46.578,43.8686,47.6205,46.3704,2.3761,44.8039,49.1044,52.5983,40.4678,52.273,0.9865,0.0498,42.2258,22334340760,528926840,481.6505,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,45.23803809523809,14489.977,0.0,0.0,0.0,2026-05-23T11:05:05.300939
GraphSAGE_int8,ogbn-proteins,ogbn-proteins,int8,204710,0.20471,43.2783,0.7379,42.4273,43.7407,41.4453,45.1113,42.8868,1.2673,41.5075,43.9997,49.5521,39.7387,46.035,1.0091,0.0116,36.3542,22351520488,614826290,521.1744,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,41.60926666666666,13550.57,0.0,0.0,0.0,2026-05-23T11:05:48.890986
GraphSAGE_fp32,ogbn-products,ogbn-products,fp32,204406,0.204406,43.4812,1.4854,42.1091,45.0585,39.7913,47.171,43.1238,0.9204,42.0889,43.851,48.4059,40.8373,45.4103,1.0083,0.0138,42.2258,22334340760,528926840,517.9123,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,43.80358095238095,14085.719,0.0,0.0,0.0,2026-05-23T11:06:41.207734
GraphSAGE_int8,ogbn-products,ogbn-products,int8,204710,0.20471,41.5891,1.0373,40.6613,42.7091,39.0122,44.1659,41.6955,0.9929,40.5748,42.4652,46.2406,39.229,44.162,0.9974,0.017,36.3542,22351520488,614826290,536.0653,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,43.0256,13994.536,0.0,0.0,0.0,2026-05-23T11:07:28.441480
GraphSAGE_fp32,ogbn-arxiv,ogbn-arxiv,fp32,204406,0.204406,52.6572,1.1081,51.3789,53.3459,49.9044,55.41,52.5655,0.3888,52.1587,52.9333,54.3837,51.5998,53.5312,1.0017,0.0122,42.2258,22334340760,528926840,424.886,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,52.10413333333334,17753.285,0.0,0.0,0.0,2026-05-23T11:08:15.025501
GraphSAGE_int8,ogbn-arxiv,ogbn-arxiv,int8,204710,0.20471,39.1441,0.0373,39.1094,39.1836,39.0514,39.2367,39.0316,0.1739,38.8312,39.1432,40.3126,38.5995,39.4636,1.0029,0.003,36.3542,22351520488,614826290,572.6523,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,39.01051428571429,13631.702,0.0,0.0,0.0,2026-05-23T11:08:56.358211
GraphSAGE_fp32,ogbn-proteins,ogbn-proteins,fp32,204406,0.204406,52.5459,0.4262,52.0543,52.8119,51.4871,53.6047,52.3161,0.8059,51.3859,52.8042,53.7522,50.3141,54.318,1.0044,0.0172,42.2258,22334340760,528926840,426.9115,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,51.22731428571428,17295.882,0.0,0.0,0.0,2026-05-23T11:09:51.099081
GraphSAGE_int8,ogbn-proteins,ogbn-proteins,int8,204710,0.20471,38.3015,0.5303,37.7421,38.7968,36.9842,39.6188,38.144,0.1675,38.0104,38.3319,39.6559,37.728,38.56,1.0041,0.0149,36.3542,22351520488,614826290,585.9776,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,37.96644761904762,13229.453,0.0,0.0,0.0,2026-05-23T11:10:37.152126
GraphSAGE_fp32,ogbn-products,ogbn-products,fp32,204406,0.204406,51.0096,0.6985,50.2521,51.6283,49.2744,52.7448,50.9171,0.5687,50.2713,51.3433,52.6382,49.5042,52.3299,1.0018,0.0197,42.2258,22334340760,528926840,438.6415,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,50.06607619047619,16940.326,0.0,0.0,0.0,2026-05-23T11:11:35.008521
