model,dataset,device,precision,mean_ms,std_ms,p95_ms
GraphTransformer_fp32,ogbn-arxiv,CPU,fp32,11.7533,0.6969,
GraphTransformer_fp32,ogbn-arxiv,GPU,fp32,6.4517,0.3841,
GraphTransformer_fp32,ogbn-arxiv,NPU,fp32,11.5796,0.0402,
GraphTransformer_fp32,ogbn-products,CPU,fp32,11.3516,0.1687,
GraphTransformer_fp32,ogbn-products,GPU,fp32,6.4978,0.3105,
GraphTransformer_fp32,ogbn-products,NPU,fp32,11.4852,0.099,
GraphTransformer_fp32,ogbn-proteins,CPU,fp32,11.5578,0.191,
GraphTransformer_fp32,ogbn-proteins,GPU,fp32,6.4574,0.3864,
GraphTransformer_fp32,ogbn-proteins,NPU,fp32,11.3305,0.067,
GraphTransformer_int8,ogbn-arxiv,CPU,int8,9.4468,0.0779,
GraphTransformer_int8,ogbn-arxiv,GPU,int8,6.025,0.2195,
GraphTransformer_int8,ogbn-arxiv,NPU,int8,9.2148,0.0453,
GraphTransformer_int8,ogbn-products,CPU,int8,10.3686,0.8901,
GraphTransformer_int8,ogbn-products,GPU,int8,6.0929,0.2134,
GraphTransformer_int8,ogbn-products,NPU,int8,9.2858,0.3119,
GraphTransformer_int8,ogbn-proteins,CPU,int8,9.8604,0.5535,
GraphTransformer_int8,ogbn-proteins,GPU,int8,6.1731,0.2298,
GraphTransformer_int8,ogbn-proteins,NPU,int8,9.6493,0.4027,
