model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
GraphTransformer_fp32,ogbn-arxiv,ogbn-arxiv,fp32,184512,0.184512,10.2865,0.3046,9.9349,10.4724,9.5297,11.0433,10.5143,0.026,10.4866,10.538,13.2689,10.4498,10.5788,0.9783,0.0252,446.1035,44512381820,99780384,4233.5004,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,10.698038095238095,3546.039,0.0,0.0,0.0,2026-05-23T11:18:31.002960
GraphTransformer_int8,ogbn-arxiv,ogbn-arxiv,int8,184866,0.184866,8.6542,0.0481,8.6234,8.7096,8.5348,8.7736,8.8613,0.0182,8.842,8.8781,11.5545,8.8161,8.9065,0.9766,0.0032,290.9494,44523030892,153026734,5024.4378,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,8.937219047619047,3318.056,0.0,0.0,0.0,2026-05-23T11:18:44.101052
GraphTransformer_fp32,ogbn-proteins,ogbn-proteins,fp32,184512,0.184512,10.7987,0.497,10.4997,11.3724,9.5641,12.0333,11.0568,0.3025,10.7899,11.3854,13.1941,10.3053,11.8082,0.9767,0.0557,446.1035,44512381820,99780384,4025.8024,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,10.820104761904762,3686.397,0.0,0.0,0.0,2026-05-23T11:19:12.576091
GraphTransformer_int8,ogbn-proteins,ogbn-proteins,int8,184866,0.184866,8.7602,0.2037,8.5635,8.9702,8.2543,9.2661,9.286,0.231,9.0348,9.4893,10.6968,8.7121,9.8599,0.9434,0.0294,290.9494,44523030892,153026734,4794.6494,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,9.403342857142857,3485.358,0.0,0.0,0.0,2026-05-23T11:19:36.475993
GraphTransformer_fp32,ogbn-products,ogbn-products,fp32,184512,0.184512,10.8185,0.1228,10.7003,10.9454,10.5134,11.1235,10.6025,0.2802,10.2795,10.7797,13.4681,9.9065,11.2985,1.0204,0.0311,446.1035,44512381820,99780384,4198.2853,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,10.721533333333335,3564.119,0.0,0.0,0.0,2026-05-23T11:20:08.009283
GraphTransformer_int8,ogbn-products,ogbn-products,int8,184866,0.184866,8.4171,0.1335,8.2738,8.5379,8.0855,8.7487,8.5422,0.1126,8.4171,8.6354,10.919,8.2625,8.8218,0.9854,0.023,290.9494,44523030892,153026734,5212.1424,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,8.588504761904762,3201.279,0.0,0.0,0.0,2026-05-23T11:20:34.127222
GraphTransformer_fp32,ogbn-arxiv,ogbn-arxiv,fp32,184512,0.184512,6.3175,0.2182,6.1415,6.5616,5.7756,6.8595,6.0098,0.238,5.7498,6.2168,7.1119,5.4186,6.6011,1.0512,0.0456,446.1035,44512381820,99780384,7406.6143,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,6.066380952380953,3141.876,0.0,0.0,0.0,2026-05-23T11:20:51.276376
GraphTransformer_int8,ogbn-arxiv,ogbn-arxiv,int8,184866,0.184866,5.7867,0.2202,5.613,6.0344,5.2397,6.3338,5.8404,0.3014,5.5511,6.1526,6.8727,5.0917,6.589,0.9908,0.0678,290.9494,44523030892,153026734,7623.3193,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,6.096933333333333,3213.06,0.0,0.0,0.0,2026-05-23T11:21:14.542978
GraphTransformer_fp32,ogbn-proteins,ogbn-proteins,fp32,184512,0.184512,6.0976,0.4052,5.8335,6.5641,5.091,7.1042,5.9583,0.1651,5.8493,6.1483,7.2743,5.5481,6.3686,1.0234,0.0673,446.1035,44512381820,99780384,7470.6363,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.806923809523809,2985.349,0.0,0.0,0.0,2026-05-23T11:21:40.142146
GraphTransformer_int8,ogbn-proteins,ogbn-proteins,int8,184866,0.184866,5.9129,0.1389,5.7678,6.0446,5.5679,6.2579,5.7337,0.0301,5.7001,5.7583,6.8036,5.6589,5.8085,1.0313,0.024,290.9494,44523030892,153026734,7765.1799,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.66092380952381,3047.739,0.0,0.0,0.0,2026-05-23T11:22:06.876269
GraphTransformer_fp32,ogbn-products,ogbn-products,fp32,184512,0.184512,6.2207,0.2394,6.0253,6.4878,5.6259,6.8155,6.1103,0.1444,5.9805,6.2658,7.3808,5.7517,6.4689,1.0181,0.0468,446.1035,44512381820,99780384,7284.7814,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,6.145961904761905,3208.006,0.0,0.0,0.0,2026-05-23T11:22:36.509939
