model,dataset,device,precision,mean_ms,std_ms,p95_ms
MPNN_fp32,ogbn-arxiv,CPU,fp32,20.5383,0.6764,
MPNN_fp32,ogbn-arxiv,GPU,fp32,19.9874,1.1785,
MPNN_fp32,ogbn-products,CPU,fp32,21.4294,2.1367,
MPNN_fp32,ogbn-products,GPU,fp32,18.6397,0.7392,
MPNN_fp32,ogbn-proteins,CPU,fp32,19.9135,0.4664,
MPNN_fp32,ogbn-proteins,GPU,fp32,20.8676,1.405,
MPNN_int8,ogbn-arxiv,CPU,int8,32.3667,1.1638,
MPNN_int8,ogbn-arxiv,GPU,int8,31.1309,4.5421,
MPNN_int8,ogbn-products,CPU,int8,33.0272,1.0256,
MPNN_int8,ogbn-products,GPU,int8,33.2003,1.2346,
MPNN_int8,ogbn-proteins,CPU,int8,32.0327,1.0636,
MPNN_int8,ogbn-proteins,GPU,int8,29.8428,5.2715,
