model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,timestamp
MPNN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,196659,0.196659,21.0577,0.189,20.9222,21.2736,20.5881,21.5273,18.0224,0.3941,17.6122,18.3982,24.5313,17.0434,19.0014,1.1684,0.0159,145.553,44542951180,306025648,2471.5354,100,5,3,GPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:27:46.493858
MPNN_fp32,ogbn-proteins,ogbn-proteins,fp32,196659,0.196659,24.6246,3.7534,20.694,28.1714,15.3006,33.9487,23.8825,6.2774,16.717,28.4126,45.9228,8.2885,39.4765,1.0311,0.4051,145.553,44542951180,306025648,1865.0879,100,5,3,GPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:28:22.876517
MPNN_fp32,ogbn-products,ogbn-products,fp32,196659,0.196659,21.8999,1.2841,20.4262,22.7783,18.71,25.0898,24.1851,5.6539,18.0939,29.2654,40.074,10.1399,38.2302,0.9055,0.2119,145.553,44542951180,306025648,1841.7555,100,5,3,GPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:29:01.994932
MPNN_int8,ogbn-arxiv,ogbn-arxiv,int8,196809,0.196809,36.515,6.8092,31.9932,44.3464,19.5998,53.4301,30.2212,2.5061,28.7455,33.1148,42.4908,23.9956,36.4467,1.2083,0.0989,115.3432,44559009348,386316883,1474.4309,100,5,3,GPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:29:50.474267
MPNN_int8,ogbn-proteins,ogbn-proteins,int8,196809,0.196809,32.6079,6.6731,26.6333,39.8093,16.031,49.1848,33.6879,5.1227,27.7925,37.0542,51.9663,20.9624,46.4135,0.9679,0.1868,115.3432,44559009348,386316883,1322.6989,100,5,3,GPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:30:34.053822
MPNN_int8,ogbn-products,ogbn-products,int8,196809,0.196809,36.9693,11.1053,24.7679,46.4865,9.3821,64.5564,33.5324,4.6868,28.7214,38.0841,51.2933,21.8898,45.175,1.1025,0.1589,115.3432,44559009348,386316883,1328.8338,100,5,3,GPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:31:22.060934
MPNN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,196659,0.196659,20.7942,0.2008,20.5762,20.9716,20.2954,21.293,16.8556,1.4508,15.1963,17.8843,21.5083,13.2517,20.4596,1.2337,0.0926,145.553,44542951180,306025648,2642.6143,100,5,3,CPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:32:00.927569
MPNN_fp32,ogbn-proteins,ogbn-proteins,fp32,196659,0.196659,25.2713,3.1911,22.0958,28.4777,17.3443,33.1983,22.1052,5.5158,15.7554,25.7083,39.5668,8.4033,35.8071,1.1432,0.415,145.553,44542951180,306025648,2015.0431,100,5,3,CPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:32:37.494492
MPNN_fp32,ogbn-products,ogbn-products,fp32,196659,0.196659,25.4503,2.8372,22.6428,28.3162,18.4023,32.4982,21.7384,4.3661,16.9053,25.3973,37.8765,10.8924,32.5843,1.1708,0.1421,145.553,44542951180,306025648,2049.049,100,5,3,CPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:33:18.005945
MPNN_int8,ogbn-arxiv,ogbn-arxiv,int8,196809,0.196809,30.4879,4.5503,25.2936,33.7703,19.1843,41.7914,34.3588,8.4017,29.2829,44.0567,48.9736,13.4877,55.2299,0.8873,0.1762,115.3432,44559009348,386316883,1296.8741,100,5,3,CPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:34:05.328001
MPNN_int8,ogbn-proteins,ogbn-proteins,int8,196809,0.196809,34.8947,5.273,31.8048,40.9832,21.796,47.9935,31.623,2.094,30.1947,34.0267,48.5872,26.4212,36.8247,1.1035,0.179,115.3432,44559009348,386316883,1409.0707,100,5,3,CPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:34:48.820270
MPNN_int8,ogbn-products,ogbn-products,int8,196809,0.196809,37.13,5.2424,33.678,43.1624,24.1072,50.1528,32.8346,4.9393,27.5559,37.3444,51.2979,20.5646,45.1046,1.1308,0.1035,115.3432,44559009348,386316883,1357.0753,100,5,3,CPU,True,True,CPUExecutionProvider,CPUExecutionProvider,2026-05-23T11:35:36.957395
