model,dataset,device,precision,mean_ms,std_ms,p95_ms
SGC,ogbn-arxiv,CPU,fp32,81.9622,0.6541,
SGC,ogbn-arxiv,CPU,int8,149.2537,1.0084,
SGC,ogbn-arxiv,GPU,fp32,58.2223,0.3767,
SGC,ogbn-arxiv,GPU,int8,62.0687,2.0,
SGC,ogbn-arxiv,NPU,fp32,80.1256,0.1703,
SGC,ogbn-arxiv,NPU,int8,152.1548,0.9866,
SGC,ogbn-products,CPU,fp32,75.8844,0.5348,
SGC,ogbn-products,CPU,int8,148.1472,1.0018,
SGC,ogbn-products,GPU,fp32,138.1513,0.6655,
SGC,ogbn-products,GPU,int8,136.9032,0.0778,
SGC,ogbn-products,NPU,fp32,78.3144,0.6377,
SGC,ogbn-products,NPU,int8,147.4907,0.1511,
SGC,ogbn-proteins,CPU,fp32,79.0735,0.2963,
SGC,ogbn-proteins,CPU,int8,147.2536,0.4722,
SGC,ogbn-proteins,GPU,fp32,138.5535,0.8841,
SGC,ogbn-proteins,GPU,int8,137.6791,0.5435,
SGC,ogbn-proteins,NPU,fp32,77.3923,0.6028,
SGC,ogbn-proteins,NPU,int8,149.1755,1.72,
