model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
SGC_fp32,ogbn-arxiv,ogbn-arxiv,fp32,15469,0.015469,79.773,0.6349,79.217,80.4648,78.1959,81.3502,80.2193,0.215,79.9921,80.4195,89.9552,79.6852,80.7534,0.9944,0.0073,88.5769,11133418854,125692060,138.7873,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,80.75161904761903,25767.92,0.0,0.0,0.0,2026-05-23T11:36:51.833875
SGC_int8,ogbn-arxiv,ogbn-arxiv,int8,15497,0.015497,177.7257,2.0086,176.1949,180.0001,172.736,182.7154,176.7996,2.0743,174.6845,178.8306,191.8875,171.6467,181.9525,1.0052,0.007,67.6739,11141206581,164630800,63.016,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,178.05294285714282,56501.293,0.0,0.0,0.0,2026-05-23T11:38:52.128136
SGC_fp32,ogbn-proteins,ogbn-proteins,fp32,15469,0.015469,78.8439,0.9382,77.8153,79.6527,76.5132,81.1745,78.4069,0.432,77.9601,78.8224,87.0841,77.3338,79.4799,1.0056,0.0142,88.5769,11133418854,125692060,141.9954,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,78.78943809523811,25288.225,0.0,0.0,0.0,2026-05-23T11:40:04.367820
SGC_int8,ogbn-proteins,ogbn-proteins,int8,15497,0.015497,174.2694,1.5002,172.6061,175.5201,170.5428,177.9961,173.0508,0.5636,172.6647,173.6976,185.9737,171.6507,174.4509,1.007,0.0097,67.6739,11141206581,164630800,64.3811,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,174.2084095238095,55162.232,0.0,0.0,0.0,2026-05-23T11:42:12.328771
SGC_fp32,ogbn-products,ogbn-products,fp32,15469,0.015469,77.0034,0.4403,76.5125,77.3635,75.9096,78.0972,77.1444,0.5859,76.4717,77.543,87.714,75.6889,78.5999,0.9982,0.0099,88.5769,11133418854,125692060,144.3192,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,79.4835904761905,25243.484,0.0,0.0,0.0,2026-05-23T11:43:26.912235
SGC_int8,ogbn-products,ogbn-products,int8,15497,0.015497,171.7364,0.554,171.4143,172.3761,170.3603,173.1126,171.8363,2.1124,169.6056,173.8062,186.3022,166.5887,177.0838,0.9994,0.0081,67.6739,11141206581,164630800,64.8362,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,171.04262857142857,54309.897,0.0,0.0,0.0,2026-05-23T11:45:36.162609
SGC_fp32,ogbn-arxiv,ogbn-arxiv,fp32,15469,0.015469,60.3683,0.3065,60.1439,60.7175,59.6069,61.1297,60.765,3.1958,58.5496,64.4285,66.4739,52.8262,68.7039,0.9935,0.0426,88.5769,11133418854,125692060,183.2209,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,59.49378095238096,20264.576,0.0,0.0,0.0,2026-05-23T11:46:28.596112
SGC_int8,ogbn-arxiv,ogbn-arxiv,int8,15497,0.015497,59.3685,0.4039,58.9935,59.7962,58.3651,60.372,60.9771,2.3643,59.5969,63.7071,66.8913,55.1038,66.8503,0.9736,0.0254,67.6739,11141206581,164630800,182.7115,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,59.580771428571424,20283.474,0.0,0.0,0.0,2026-05-23T11:47:26.400504
SGC_fp32,ogbn-proteins,ogbn-proteins,fp32,15469,0.015469,138.6476,0.2618,138.4056,138.9255,137.9973,139.2979,138.7962,0.3546,138.4489,139.1577,142.2469,137.9153,139.6771,0.9989,0.0021,88.5769,11133418854,125692060,80.2141,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,138.2146380952381,44990.504,0.0,0.0,0.0,2026-05-23T11:49:16.921695
SGC_int8,ogbn-proteins,ogbn-proteins,int8,15497,0.015497,137.5481,0.6106,137.1462,138.2508,136.0312,139.065,137.5394,0.396,137.2972,137.9964,140.7502,136.5556,138.5232,1.0001,0.0013,67.6739,11141206581,164630800,81.0037,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,137.88202857142858,44747.439,0.0,0.0,0.0,2026-05-23T11:51:06.122004
SGC_fp32,ogbn-products,ogbn-products,fp32,15469,0.015469,139.4089,1.2758,138.1138,140.6646,136.2396,142.5783,139.4814,1.3758,138.4493,141.0433,142.8783,136.0637,142.899,0.9995,0.0029,88.5769,11133418854,125692060,79.8201,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,140.815,45766.951,0.0,0.0,0.0,2026-05-23T11:53:00.897427
SGC_int8,ogbn-products,ogbn-products,int8,15497,0.015497,139.4103,0.1238,139.2914,139.5385,139.1027,139.7179,138.605,0.1476,138.4934,138.7724,142.1736,138.2384,138.9716,1.0058,0.0013,67.6739,11141206581,164630800,80.381,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,138.5133238095238,45081.948,0.0,0.0,0.0,2026-05-23T11:54:55.530440
SGC_fp32,ogbn-arxiv,ogbn-arxiv,fp32,15469,0.015469,81.9554,0.6991,81.3676,82.7284,80.2188,83.692,81.3713,0.2982,81.1724,81.7141,89.7407,80.6305,82.112,1.0072,0.0096,88.5769,11133418854,125692060,136.8225,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,82.95803809523811,26360.575,0.0,0.0,0.0,2026-05-23T11:55:55.547016
SGC_int8,ogbn-arxiv,ogbn-arxiv,int8,15497,0.015497,175.4972,0.658,174.8893,176.1959,173.8626,177.1318,176.6636,1.5831,174.8427,177.7143,193.8621,172.7309,180.5963,0.9934,0.0103,67.6739,11141206581,164630800,63.0645,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,175.90513333333334,55738.641,0.0,0.0,0.0,2026-05-23T11:57:54.930881
SGC_fp32,ogbn-proteins,ogbn-proteins,fp32,15469,0.015469,78.721,0.2425,78.4818,78.9667,78.1186,79.3235,79.0161,0.2529,78.7312,79.2143,87.297,78.3878,79.6443,0.9963,0.004,88.5769,11133418854,125692060,140.9007,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,79.89617142857144,25381.651,0.0,0.0,0.0,2026-05-23T11:59:01.787176
SGC_int8,ogbn-proteins,ogbn-proteins,int8,15497,0.015497,173.0662,0.7044,172.6309,173.8788,171.3165,174.8159,172.8015,1.303,171.4632,174.0661,187.5285,169.5646,176.0384,1.0015,0.004,67.6739,11141206581,164630800,64.474,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,173.67578095238096,54954.747,0.0,0.0,0.0,2026-05-23T12:01:07.781026
SGC_fp32,ogbn-products,ogbn-products,fp32,15469,0.015469,77.3769,1.298,76.5125,78.8695,74.1525,80.6013,77.3894,0.3936,77.0331,77.812,87.7168,76.4116,78.3672,0.9998,0.017,88.5769,11133418854,125692060,143.8623,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,77.90118095238095,24809.461,0.0,0.0,0.0,2026-05-23T12:02:17.529304
SGC_int8,ogbn-products,ogbn-products,int8,15497,0.015497,172.0876,1.1302,170.8287,173.015,169.2799,174.8952,172.44,0.5436,171.8123,172.7567,185.3778,171.0895,173.7904,0.998,0.003,67.6739,11141206581,164630800,64.6092,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,174.08111428571428,55094.114,0.0,0.0,0.0,2026-05-23T12:04:27.095528
