model,dataset,device,precision,mean_ms,std_ms,p95_ms
bert-tiny,ogbn-arxiv,CPU,fp32,6.1782,0.0778,7.1467
bert-tiny,ogbn-arxiv,CPU,int8,8.2315,0.1667,9.4011
bert-tiny,ogbn-arxiv,NPU,fp32,5.4287,0.1626,6.3395
bert-tiny,ogbn-arxiv,NPU,int8,7.7407,0.2767,9.177
bert-tiny,ogbn-products,CPU,fp32,6.4363,0.1355,7.3414
bert-tiny,ogbn-products,CPU,int8,8.0572,0.3486,8.9943
bert-tiny,ogbn-products,NPU,fp32,5.5196,0.1157,6.4078
bert-tiny,ogbn-products,NPU,int8,8.154,0.2314,9.3669
bert-tiny,ogbn-proteins,CPU,fp32,5.8418,0.1301,6.7542
bert-tiny,ogbn-proteins,CPU,int8,8.0996,0.3017,9.075
bert-tiny,ogbn-proteins,NPU,fp32,5.7398,0.1556,6.6318
bert-tiny,ogbn-proteins,NPU,int8,8.1538,0.425,9.0868
