model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
bert-tiny_fp32,ogbn-arxiv,ogbn-arxiv,fp32,4386453,4.386453,5.2218,0.0101,5.2102,5.2279,5.1968,5.2469,5.4287,0.1626,5.3256,5.6162,6.3395,5.0247,5.8327,0.9619,0.0246,3.0169,110985728,36787744,20.4442,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.428704761904763,2118.149,0.0,0.0,231.71272986277523,2026-05-23T12:06:35.298528
bert-tiny_int8,ogbn-arxiv,ogbn-arxiv,int8,4386485,4.386485,7.7774,0.2468,7.5288,8.0224,7.1642,8.3905,7.7407,0.2767,7.5273,8.0534,9.177,7.0533,8.4281,1.0047,0.0541,0.4705,11453581,24341961,1.4797,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.484104761904762,3036.017,0.0,0.0,154.367160369087,2026-05-23T12:06:47.698694
bert-tiny_fp32,ogbn-proteins,ogbn-proteins,fp32,4386453,4.386453,5.5546,0.368,5.3116,5.978,4.6405,6.4688,5.7398,0.1556,5.5667,5.8682,6.6318,5.3532,6.1263,0.9677,0.0745,3.0169,110985728,36787744,19.3363,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.6852857142857145,2160.785,0.0,0.0,213.65680830213333,2026-05-23T12:06:57.209527
bert-tiny_int8,ogbn-proteins,ogbn-proteins,int8,4386485,4.386485,8.1197,0.4018,7.7333,8.5353,7.1216,9.1178,8.1538,0.425,7.8494,8.6394,9.0868,7.098,9.2096,0.9958,0.0793,0.4705,11453581,24341961,1.4047,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.9646,3157.838,0.0,0.0,154.58403435200762,2026-05-23T12:07:09.660648
bert-tiny_fp32,ogbn-products,ogbn-products,fp32,4386453,4.386453,5.8185,0.3172,5.4919,6.1253,5.0305,6.6064,5.5196,0.1157,5.3875,5.6033,6.4078,5.2321,5.8071,1.0541,0.0622,3.0169,110985728,36787744,20.1076,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.576704761904762,2116.849,0.0,0.0,229.65174860047068,2026-05-23T12:07:19.126332
bert-tiny_int8,ogbn-products,ogbn-products,int8,4386485,4.386485,7.8921,0.193,7.7455,8.1107,7.4126,8.3715,8.154,0.2314,8.0194,8.4212,9.3669,7.5793,8.7287,0.9679,0.0052,0.4705,11453581,24341961,1.4047,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,8.416171428571428,3277.754,0.0,0.0,161.37979264409336,2026-05-23T12:07:31.613314
bert-tiny_fp32,ogbn-arxiv,ogbn-arxiv,fp32,4386453,4.386453,6.2125,0.2443,5.9606,6.4484,5.6056,6.8193,6.1782,0.0778,6.0887,6.2301,7.1467,5.9849,6.3714,1.0056,0.0242,3.0169,110985728,36787744,17.9642,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,6.484895238095237,2321.81,0.0,0.0,223.457734750644,2026-05-23T12:07:44.391944
bert-tiny_int8,ogbn-arxiv,ogbn-arxiv,int8,4386485,4.386485,7.9509,0.2252,7.7157,8.1647,7.3914,8.5104,8.2315,0.1667,8.1178,8.4229,9.4011,7.8173,8.6457,0.9659,0.0375,0.4705,11453581,24341961,1.3914,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,8.084638095238095,3141.125,0.0,0.0,149.2336435827148,2026-05-23T12:07:56.797389
bert-tiny_fp32,ogbn-proteins,ogbn-proteins,fp32,4386453,4.386453,5.8294,0.1331,5.729,5.9805,5.4987,6.1602,5.8418,0.1301,5.7514,5.991,6.7542,5.5186,6.1651,0.9979,0.0341,3.0169,110985728,36787744,18.9984,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.879809523809524,2224.469,0.0,0.0,225.2794065243448,2026-05-23T12:08:06.210795
bert-tiny_int8,ogbn-proteins,ogbn-proteins,int8,4386485,4.386485,7.98,0.1324,7.8437,8.1082,7.651,8.3089,8.0996,0.3017,7.8304,8.4258,9.075,7.3501,8.8492,0.9852,0.0429,0.4705,11453581,24341961,1.4141,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,8.446057142857144,3272.489,0.0,0.0,158.68943074029468,2026-05-23T12:08:18.469350
bert-tiny_fp32,ogbn-products,ogbn-products,fp32,4386453,4.386453,6.3877,0.3817,6.0724,6.8121,5.4395,7.3359,6.4363,0.1355,6.2798,6.5178,7.3414,6.0996,6.7729,0.9925,0.0383,3.0169,110985728,36787744,17.2438,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,6.445685714285713,2331.189,0.0,0.0,229.89020341402227,2026-05-23T12:08:28.130399
bert-tiny_int8,ogbn-products,ogbn-products,int8,4386485,4.386485,8.1607,0.2434,7.9733,8.4358,7.5562,8.7653,8.0572,0.3486,7.7222,8.4181,8.9943,7.1912,8.9233,1.0128,0.0395,0.4705,11453581,24341961,1.4215,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.992257142857144,3167.365,0.0,0.0,148.86908400630608,2026-05-23T12:08:40.597340
