model,dataset,device,precision,mean_ms,std_ms,p95_ms
efficientnet-b0_fp32,ogbn-arxiv,CPU,fp32,15.7419,0.1826,
efficientnet-b0_fp32,ogbn-arxiv,GPU,fp32,3.1228,0.1774,
efficientnet-b0_fp32,ogbn-arxiv,NPU,fp32,4.0429,0.0862,
efficientnet-b0_fp32,ogbn-products,CPU,fp32,16.1321,0.2444,
efficientnet-b0_fp32,ogbn-products,GPU,fp32,3.2227,0.2731,
efficientnet-b0_fp32,ogbn-products,NPU,fp32,4.0118,0.0452,
efficientnet-b0_fp32,ogbn-proteins,CPU,fp32,15.4361,1.2011,
efficientnet-b0_fp32,ogbn-proteins,GPU,fp32,3.2962,0.0857,
efficientnet-b0_fp32,ogbn-proteins,NPU,fp32,4.1077,0.0579,
efficientnet-b0_int8,ogbn-arxiv,CPU,int8,13.1076,0.3781,
efficientnet-b0_int8,ogbn-arxiv,GPU,int8,3.2012,0.0753,
efficientnet-b0_int8,ogbn-arxiv,NPU,int8,12.8264,0.1491,
efficientnet-b0_int8,ogbn-products,CPU,int8,13.6585,0.4523,
efficientnet-b0_int8,ogbn-products,GPU,int8,3.3582,0.2317,
efficientnet-b0_int8,ogbn-products,NPU,int8,12.7479,0.2102,
efficientnet-b0_int8,ogbn-proteins,CPU,int8,13.9615,0.0514,
efficientnet-b0_int8,ogbn-proteins,GPU,int8,3.4093,0.2441,
efficientnet-b0_int8,ogbn-proteins,NPU,int8,12.4829,0.1331,
