model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
efficientnet-b0_fp32,ogbn-arxiv,ogbn-arxiv,fp32,5236196,5.236196,4.107,0.031,4.0735,4.1346,4.0299,4.184,4.0429,0.0862,3.9914,4.1425,3.8287,4.2571,1.0158,0.0234,133.9442,30679830360,229049296,7588.517,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,4.200714285714286,5030.031,0.0,0.0,0.0,2026-05-20T17:57:09.979143
efficientnet-b0_int8,ogbn-arxiv,ogbn-arxiv,int8,5298284,5.298284,13.0573,0.7247,12.4546,13.8614,11.257,14.8576,12.8264,0.1491,12.6933,12.9876,12.456,13.1969,1.018,0.0364,88.6236,30703269560,346445696,2393.7492,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,12.637914285714286,7239.726,0.0,0.0,0.0,2026-05-20T17:57:39.441325
efficientnet-b0_fp32,ogbn-proteins,ogbn-proteins,fp32,5236196,5.236196,4.0863,0.0188,4.0701,4.1069,4.0395,4.1331,4.1077,0.0579,4.0451,4.1593,3.9638,4.2516,0.9948,0.0081,133.9442,30679830360,229049296,7468.8295,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,4.3761809523809525,4558.642,0.0,0.0,0.0,2026-05-20T17:58:05.742379
efficientnet-b0_int8,ogbn-proteins,ogbn-proteins,int8,5298284,5.298284,12.4427,0.3286,12.0845,12.7302,11.6264,13.2589,12.4829,0.1331,12.3333,12.5882,12.1523,12.8135,0.9968,0.0295,88.6236,30703269560,346445696,2459.624,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,12.445657142857144,6512.242,0.0,0.0,0.0,2026-05-20T17:58:32.731706
efficientnet-b0_fp32,ogbn-products,ogbn-products,fp32,5236196,5.236196,4.0217,0.1025,3.9094,4.1102,3.7671,4.2763,4.0118,0.0452,3.9596,4.0388,3.8995,4.1241,1.0025,0.0124,133.9442,30679830360,229049296,7647.4314,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,4.256457142857143,4509.027,0.0,0.0,0.0,2026-05-20T17:58:59.616033
efficientnet-b0_int8,ogbn-products,ogbn-products,int8,5298284,5.298284,12.9474,0.762,12.1741,13.6974,11.0546,14.8402,12.7479,0.2102,12.6245,12.9906,12.2258,13.27,1.0157,0.0608,88.6236,30703269560,346445696,2408.4998,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,12.568133333333334,6599.864,0.0,0.0,0.0,2026-05-20T17:59:28.051238
efficientnet-b0_fp32,ogbn-arxiv,ogbn-arxiv,fp32,5236196,5.236196,3.1606,0.0963,3.0877,3.2698,2.9213,3.3999,3.1228,0.1774,2.9919,3.3248,2.6821,3.5636,1.0121,0.0248,133.9442,30679830360,229049296,9824.3709,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,3.017228571428571,2502.737,0.0,0.0,0.0,2026-05-20T17:59:44.792814
efficientnet-b0_int8,ogbn-arxiv,ogbn-arxiv,int8,5298284,5.298284,3.5149,0.2846,3.1864,3.6885,2.8078,4.222,3.2012,0.0753,3.1152,3.2557,3.014,3.3884,1.098,0.0527,88.6236,30703269560,346445696,9591.224,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,3.080695238095238,3586.526,0.0,0.0,0.0,2026-05-20T18:00:07.142858
efficientnet-b0_fp32,ogbn-proteins,ogbn-proteins,fp32,5236196,5.236196,3.2932,0.1249,3.1909,3.4324,2.9829,3.6035,3.2962,0.0857,3.2372,3.3945,3.0832,3.5091,0.9991,0.0399,133.9442,30679830360,229049296,9307.7407,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,3.1995142857142858,2552.852,0.0,0.0,0.0,2026-05-20T18:00:23.842266
efficientnet-b0_int8,ogbn-proteins,ogbn-proteins,int8,5298284,5.298284,3.2729,0.0257,3.2481,3.2994,3.2091,3.3367,3.4093,0.2441,3.1533,3.6393,2.803,4.0156,0.96,0.0592,88.6236,30703269560,346445696,9005.6687,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,3.113657142857143,3689.226,0.0,0.0,0.0,2026-05-20T18:00:47.182345
efficientnet-b0_fp32,ogbn-products,ogbn-products,fp32,5236196,5.236196,3.2341,0.314,2.9999,3.5909,2.4542,4.014,3.2227,0.2731,3.0486,3.5375,2.5443,3.9012,1.0035,0.1296,133.9442,30679830360,229049296,9519.8127,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,3.039066666666667,2524.133,0.0,0.0,0.0,2026-05-20T18:01:03.176444
