--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_GCN_fp32 

Program Started: N/A
Data Collection Started: 2026-05-03 17:29:04 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 28.1013
Collection begin timestamp: 2326950750
Collection end timestamp: 2607953991

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              146324.50,        146.32,        0.0
       2,              236548.50,         90.22,      540.0
       3,              327005.60,         90.46,      511.6
       4,              419941.20,         92.94,      462.5
       5,              510203.60,         90.26,      450.3
       6,              600805.00,         90.60,      542.5
       7,              693249.40,         92.44,      410.5
       8,              796699.10,        103.45,      553.0
       9,              893366.80,         96.67,      554.4
      10,              993092.80,         99.73,      490.3
      11,             1092653.30,         99.56,      717.5
      12,             1187462.60,         94.81,      472.4
      13,             1281666.00,         94.20,      443.5
      14,             1375090.70,         93.42,      422.3
      15,             1476777.30,        101.69,      377.0
      16,             1567283.10,         90.51,      596.7
      17,             1657294.40,         90.01,      603.9
      18,             1759430.60,        102.14,      955.1
      19,             1857613.70,         98.18,      600.3
      20,             1954396.40,         96.78,      705.6
      21,             2044877.40,         90.48,      592.5
      22,             2139580.70,         94.70,      611.9
      23,             2230590.80,         91.01,      500.4
      24,             2322098.70,         91.51,      703.6
      25,             2412862.20,         90.76,      515.9
      26,             2509416.00,         96.55,      639.3
      27,             2607335.20,         97.92,      564.9
      28,             2698433.80,         91.10,      631.5
      29,             2788851.40,         90.42,      617.6
      30,             2890526.90,        101.68,      687.6
      31,             2983318.60,         92.79,      597.7
      32,             3076101.50,         92.78,      591.8
      33,             3167170.40,         91.07,      723.5
      34,             3257504.60,         90.33,      386.3
      35,             3347506.60,         90.00,      568.5
      36,             3443594.30,         96.09,      434.1
      37,             3533771.90,         90.18,      412.0
      38,             3626565.80,         92.79,      401.2
      39,             3717236.00,         90.67,      576.5
      40,             3808517.80,         91.28,     1035.6
      41,             3898712.20,         90.19,      887.8
      42,             3988896.80,         90.18,      844.4
      43,             4080760.20,         91.86,      781.9
      44,             4170800.30,         90.04,      653.1
      45,             4260830.30,         90.03,      829.6
      46,             4350856.30,         90.03,      777.8
      47,             4442810.10,         91.95,      737.9
      48,             4536508.30,         93.70,      682.9
      49,             4627204.50,         90.70,      570.8
      50,             4722037.40,         94.83,      744.8
      51,             4813013.90,         90.98,      705.0
      52,             4903488.50,         90.47,      569.0
      53,             4993613.40,         90.12,      680.2
      54,             5089315.90,         95.70,      559.6
      55,             5179420.90,         90.11,      604.2
      56,             5275028.50,         95.61,      682.7
      57,             5366420.60,         91.39,      612.2
      58,             5459720.00,         93.30,      709.5
      59,             5559506.80,         99.79,      662.8
      60,             5657572.40,         98.07,      675.3
