--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_GCN_int8 

Program Started: N/A
Data Collection Started: 2026-05-03 17:29:34 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 22.4853
Collection begin timestamp: 2625004514
Collection end timestamp: 2849852474

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              147299.70,        147.30,        0.0
       2,              237571.40,         90.27,      500.7
       3,              330990.30,         93.42,      526.4
       4,              421000.30,         90.01,      561.2
       5,              520124.20,         99.12,      456.0
       6,              620200.90,        100.08,      505.9
       7,              717786.70,         97.59,      467.8
       8,              820016.00,        102.23,      456.8
       9,              920476.70,        100.46,      493.3
      10,             1019957.90,         99.48,      509.1
      11,             1119622.80,         99.66,      496.0
      12,             1215939.70,         96.32,      457.8
      13,             1306142.20,         90.20,      356.6
      14,             1402057.40,         95.92,      403.4
      15,             1499499.50,         97.44,      473.1
      16,             1589749.30,         90.25,      558.8
      17,             1682263.80,         92.51,      972.2
      18,             1780666.50,         98.40,      644.6
      19,             1870947.50,         90.28,      791.4
      20,             1964696.50,         93.75,      684.6
      21,             2054892.10,         90.20,      702.1
      22,             2145370.80,         90.48,      560.0
      23,             2237458.30,         92.09,      650.8
      24,             2328508.60,         91.05,      544.1
      25,             2420950.50,         92.44,      564.6
      26,             2516668.90,         95.72,      515.6
      27,             2606995.30,         90.33,      725.5
      28,             2698774.30,         91.78,      561.3
      29,             2788929.60,         90.16,      590.6
      30,             2881065.00,         92.14,      501.8
      31,             2971186.30,         90.12,      622.4
      32,             3068963.10,         97.78,      676.3
      33,             3159314.20,         90.35,      612.1
      34,             3250359.60,         91.05,      378.7
      35,             3340416.30,         90.06,      676.8
      36,             3430418.80,         90.00,      526.9
      37,             3520901.90,         90.48,      436.8
      38,             3621144.20,        100.24,      416.7
      39,             3716694.50,         95.55,      452.9
      40,             3806774.40,         90.08,      379.8
      41,             3905527.30,         98.75,      445.1
      42,             3996849.20,         91.32,      390.4
      43,             4087591.20,         90.74,      439.9
      44,             4187625.70,        100.03,      448.7
      45,             4279226.10,         91.60,      522.3
      46,             4369798.10,         90.57,      548.4
      47,             4468718.00,         98.92,      647.2
      48,             4560126.70,         91.41,      667.7
      49,             4650274.90,         90.15,      569.7
      50,             4740694.80,         90.42,      596.3
      51,             4833346.30,         92.65,      581.7
      52,             4924224.40,         90.88,      622.7
      53,             5020786.00,         96.56,      583.7
      54,             5114760.60,         93.97,      545.1
      55,             5205824.80,         91.06,      603.0
      56,             5300796.70,         94.97,      697.2
      57,             5402907.30,        102.11,      644.3
      58,             5499411.20,         96.50,      646.2
      59,             5590453.00,         91.04,      590.8
      60,             5682515.50,         92.06,      502.0
      61,             5772529.90,         90.01,      666.1
      62,             5870791.20,         98.26,      628.8
      63,             5961735.00,         90.94,      554.8
      64,             6052146.00,         90.41,      649.7
      65,             6144489.40,         92.34,      615.4
      66,             6234936.50,         90.45,      564.7
      67,             6324957.60,         90.02,      484.8
