--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_GIN_fp32 

Program Started: N/A
Data Collection Started: 2026-05-03 17:29:58 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 33.0803
Collection begin timestamp: 2866367973
Collection end timestamp: 3197163656

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              144346.60,        144.35,        0.0
       2,              234611.80,         90.27,      543.8
       3,              324791.10,         90.18,      451.8
       4,              415650.80,         90.86,      501.2
       5,              513486.30,         97.84,      563.5
       6,              603877.10,         90.39,      507.9
       7,              697062.60,         93.19,      577.0
       8,              787821.10,         90.76,      436.3
       9,              881223.70,         93.40,      474.7
      10,              980365.40,         99.14,      519.5
      11,             1070673.00,         90.31,      408.3
      12,             1161519.20,         90.85,      690.2
      13,             1252694.30,         91.18,      747.3
      14,             1351290.90,         98.60,      900.9
      15,             1445460.60,         94.17,      772.8
      16,             1535677.80,         90.22,      665.6
      17,             1634199.50,         98.52,      599.6
      18,             1724400.70,         90.20,      615.6
      19,             1815611.60,         91.21,      556.5
      20,             1914499.90,         98.89,      692.5
      21,             2009006.40,         94.51,      524.3
      22,             2101165.50,         92.16,      563.8
      23,             2191973.60,         90.81,      602.5
      24,             2284510.40,         92.54,      672.9
      25,             2384551.20,        100.04,      679.7
      26,             2475322.80,         90.77,      556.9
      27,             2567856.00,         92.53,      591.2
      28,             2667836.70,         99.98,      645.1
      29,             2761738.90,         93.90,      646.0
      30,             2852307.80,         90.57,      554.1
      31,             2943356.70,         91.05,      652.3
      32,             3034576.20,         91.22,      960.4
      33,             3133712.30,         99.14,      548.5
      34,             3223809.70,         90.10,      402.5
      35,             3313878.70,         90.07,      420.0
      36,             3403949.60,         90.07,      430.8
      37,             3495369.30,         91.42,      486.0
      38,             3585676.80,         90.31,      489.6
      39,             3675798.70,         90.12,      368.0
      40,             3768497.30,         92.70,      500.2
      41,             3867988.70,         99.49,      477.5
      42,             3963151.70,         95.16,      468.2
      43,             4053577.10,         90.43,      403.1
      44,             4143749.20,         90.17,      601.5
      45,             4235404.70,         91.66,      689.5
      46,             4325574.80,         90.17,      844.4
      47,             4415778.60,         90.20,      810.4
      48,             4506459.70,         90.68,      688.7
      49,             4596664.70,         90.20,      679.0
      50,             4688804.10,         92.14,      539.6
      51,             4781200.30,         92.40,      576.6
      52,             4872292.90,         91.09,      661.9
      53,             4965308.70,         93.02,      719.0
      54,             5057296.00,         91.99,      498.1
      55,             5151286.10,         93.99,      566.8
      56,             5244881.20,         93.60,      637.9
      57,             5335289.00,         90.41,      541.1
      58,             5425379.10,         90.09,      642.3
      59,             5515429.40,         90.05,      648.5
      60,             5605703.90,         90.27,      608.7
      61,             5701475.90,         95.77,      657.6
      62,             5801247.20,         99.77,      746.3
      63,             5891861.80,         90.61,      819.8
      64,             5982825.10,         90.96,      635.3
      65,             6073057.50,         90.23,      551.7
      66,             6163172.80,         90.12,      625.5
      67,             6254810.60,         91.64,      534.4
      68,             6348939.50,         94.13,      683.0
      69,             6438954.50,         90.02,      608.4
      70,             6533011.60,         94.06,      521.0
      71,             6625841.40,         92.83,      633.1
      72,             6716108.20,         90.27,      718.1
      73,             6809487.90,         93.38,      915.2
      74,             6901301.90,         91.81,     1402.2
      75,             7001416.50,        100.11,     1711.3
      76,             7091930.90,         90.51,     1023.9
      77,             7181989.60,         90.06,     1163.0
      78,             7272555.90,         90.57,     1098.8
      79,             7366891.40,         94.34,     1323.9
      80,             7457180.70,         90.29,     1219.7
      81,             7547998.50,         90.82,     1625.4
      82,             7639440.30,         91.44,     1615.3
      83,             7733613.20,         94.17,     1416.7
      84,             7824655.10,         91.04,     1319.3
      85,             7917910.30,         93.26,     1781.3
      86,             8008940.60,         91.03,     1530.8
      87,             8099692.90,         90.75,     1589.1
      88,             8198900.30,         99.21,     1523.1
      89,             8301425.80,        102.53,     1099.2
      90,             8393152.30,         91.73,      627.9
      91,             8483358.60,         90.21,      750.5
      92,             8573560.40,         90.20,      839.2
      93,             8668594.80,         95.03,      830.2
      94,             8759045.90,         90.45,      747.6
      95,             8849318.60,         90.27,     1280.1
      96,             8945708.80,         96.39,     1430.9
      97,             9037037.70,         91.33,     1227.7
      98,             9127708.30,         90.67,     1315.7
      99,             9217885.70,         90.18,     1353.5
     100,             9309762.40,         91.88,     1289.1
     101,             9401467.80,         91.71,     1583.5
     102,             9491943.90,         90.48,     1588.1
     103,             9584097.90,         92.15,     1549.4
     104,             9679406.10,         95.31,     1656.6
     105,             9769518.50,         90.11,     1824.0
     106,             9864247.60,         94.73,     1718.0
     107,             9954328.40,         90.08,     1458.0
     108,            10044552.70,         90.22,     1511.8
     109,            10134627.10,         90.07,     1774.0
     110,            10230938.70,         96.31,     1563.7
     111,            10323085.80,         92.15,      943.0
     112,            10416174.80,         93.09,      869.5
     113,            10508364.40,         92.19,      644.8
     114,            10600234.60,         91.87,      816.0
     115,            10690408.10,         90.17,      652.3
     116,            10781453.50,         91.05,      616.1
     117,            10871606.80,         90.15,      855.3
     118,            10967912.70,         96.31,      739.1
     119,            11067909.00,        100.00,      782.9
     120,            11162552.60,         94.64,      671.3
     121,            11253208.50,         90.66,      708.1
     122,            11351239.50,         98.03,      718.6
     123,            11445428.90,         94.19,      855.5
     124,            11535444.80,         90.02,      975.8
     125,            11634603.70,         99.16,      922.5
     126,            11734644.50,        100.04,      979.9
     127,            11826392.60,         91.75,      670.3
     128,            11916475.70,         90.08,      539.4
     129,            12007480.80,         91.01,      421.0
     130,            12099613.10,         92.13,      650.7
     131,            12196322.60,         96.71,      714.4
     132,            12309921.80,        113.60,     1165.2
     133,            12401654.00,         91.73,      709.7
     134,            12492053.20,         90.40,      898.4
     135,            12582612.70,         90.56,      780.1
     136,            12673061.30,         90.45,     1083.8
     137,            12763074.60,         90.01,      809.8
     138,            12860764.10,         97.69,     1092.2
     139,            12951499.00,         90.73,      856.3
     140,            13049052.90,         97.55,     1156.6
     141,            13142698.30,         93.65,     1157.2
     142,            13234595.80,         91.90,      983.5
     143,            13324699.70,         90.10,      642.8
     144,            13417662.90,         92.96,     1119.7
     145,            13518586.00,        100.92,     1397.6
     146,            13614584.90,         96.00,     1369.6
