--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_GraphTransformer_int8 

Program Started: N/A
Data Collection Started: 2026-05-03 17:32:33 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 21.7567
Collection begin timestamp: 4409547288
Collection end timestamp: 4627110971

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              158082.70,        158.08,        0.0
       2,              248572.30,         90.49,      436.8
       3,              339973.10,         91.40,      348.7
       4,              430099.80,         90.13,      497.8
       5,              532546.80,        102.45,      782.4
       6,              623159.10,         90.61,      808.3
       7,              713563.00,         90.40,      782.9
       8,              804987.80,         91.42,      937.7
       9,              895776.60,         90.79,      614.8
      10,              986004.20,         90.23,      517.4
      11,             1076715.80,         90.71,      496.0
      12,             1167059.70,         90.34,      559.3
      13,             1267129.30,        100.07,      552.4
      14,             1364448.30,         97.32,      522.3
      15,             1467189.80,        102.74,      734.1
      16,             1558563.50,         91.37,      819.4
      17,             1648908.30,         90.34,      776.9
      18,             1741417.40,         92.51,      981.3
      19,             1831553.90,         90.14,      763.9
      20,             1933074.10,        101.52,      853.8
      21,             2031422.30,         98.35,      741.9
      22,             2132297.90,        100.88,      785.3
      23,             2223602.90,         91.31,      660.5
      24,             2315231.30,         91.63,      688.8
      25,             2406169.90,         90.94,      568.7
      26,             2496708.50,         90.54,      711.0
      27,             2595306.90,         98.60,      773.8
      28,             2685407.60,         90.10,      543.6
      29,             2783703.60,         98.30,      839.5
      30,             2878794.60,         95.09,      739.4
      31,             2971160.10,         92.37,      591.1
      32,             3065581.70,         94.42,      702.1
      33,             3163065.10,         97.48,      668.3
      34,             3256533.10,         93.47,      489.9
      35,             3346876.30,         90.34,      914.8
      36,             3446295.00,         99.42,      860.2
      37,             3539635.90,         93.34,      476.3
      38,             3631625.30,         91.99,      498.8
      39,             3733818.70,        102.19,      486.8
      40,             3833791.80,         99.97,      473.6
      41,             3923892.90,         90.10,      334.8
      42,             4017106.60,         93.21,      419.3
      43,             4115781.50,         98.67,      502.6
      44,             4209670.70,         93.89,      411.7
      45,             4300339.80,         90.67,      543.0
      46,             4393333.40,         92.99,      582.9
      47,             4483706.90,         90.37,      643.6
      48,             4581012.50,         97.31,      671.1
      49,             4683717.40,        102.70,      641.5
      50,             4777820.70,         94.10,      724.6
      51,             4867893.60,         90.07,      618.3
      52,             4965600.00,         97.71,      678.3
      53,             5065623.00,        100.02,      659.5
      54,             5167014.00,        101.39,      682.5
      55,             5264514.00,         97.50,      715.3
      56,             5366989.50,        102.48,      628.5
      57,             5461057.60,         94.07,      600.9
      58,             5551241.40,         90.18,      751.2
      59,             5645185.90,         93.94,      672.7
      60,             5735334.10,         90.15,      559.0
