--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_bert-tiny_fp32 

Program Started: N/A
Data Collection Started: 2026-05-03 17:32:56 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 20.6595
Collection begin timestamp: 4643733682
Collection end timestamp: 4850322889

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              150048.70,        150.05,        0.0
       2,              245780.10,         95.73,      443.1
       3,              337801.80,         92.02,      467.8
       4,              428432.40,         90.63,      435.4
       5,              518563.40,         90.13,      501.2
       6,              615282.40,         96.72,      423.1
       7,              705599.30,         90.32,      473.4
       8,              796900.50,         91.30,      567.2
       9,              898566.10,        101.67,      516.9
      10,              998571.50,        100.01,      499.3
      11,             1096001.80,         97.43,      361.1
      12,             1198570.70,        102.57,      437.4
      13,             1296823.60,         98.25,      384.6
      14,             1387378.10,         90.55,      417.2
      15,             1477394.30,         90.02,      410.5
      16,             1567786.20,         90.39,      430.4
      17,             1658203.90,         90.42,      603.8
      18,             1748400.60,         90.20,      882.1
      19,             1846383.50,         97.98,      707.0
      20,             1942557.30,         96.17,      626.6
      21,             2033281.80,         90.72,      614.4
      22,             2130392.50,         97.11,      662.1
      23,             2226649.20,         96.26,      592.1
      24,             2316814.70,         90.17,      519.8
      25,             2412616.70,         95.80,      655.3
      26,             2510560.50,         97.94,      694.7
      27,             2612433.80,        101.87,      751.0
      28,             2702496.10,         90.06,      680.1
      29,             2798642.90,         96.15,      550.5
      30,             2898490.60,         99.85,      530.9
      31,             2993385.50,         94.89,      601.3
      32,             3083406.50,         90.02,      591.0
      33,             3173606.60,         90.20,      742.1
      34,             3265242.20,         91.64,      464.8
      35,             3356666.40,         91.42,      667.3
      36,             3446673.80,         90.01,     1105.0
      37,             3536742.20,         90.07,      491.9
      38,             3626752.00,         90.01,      436.7
      39,             3716842.50,         90.09,      439.5
      40,             3810483.20,         93.64,      639.7
      41,             3906317.50,         95.83,      479.2
      42,             3997834.30,         91.52,      414.4
      43,             4098445.80,        100.61,      470.9
      44,             4196657.00,         98.21,      416.3
      45,             4298866.40,        102.21,      610.8
      46,             4397815.40,         98.95,      702.1
      47,             4494647.80,         96.83,      715.3
      48,             4596957.90,        102.31,      790.3
      49,             4687449.80,         90.49,      577.3
      50,             4777727.40,         90.28,      632.0
      51,             4873831.90,         96.10,      575.4
      52,             4964324.80,         90.49,      634.2
      53,             5062566.60,         98.24,      698.5
      54,             5162569.90,        100.00,      675.3
      55,             5253283.20,         90.71,      599.2
      56,             5348532.10,         95.25,      619.9
      57,             5445278.60,         96.75,      632.5
      58,             5546529.70,        101.25,      729.4
      59,             5636796.80,         90.27,      687.0
      60,             5727856.20,         91.06,      638.9
