--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_bert-tiny_int8 

Program Started: N/A
Data Collection Started: 2026-05-03 17:33:18 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 22.5983
Collection begin timestamp: 4867071611
Collection end timestamp: 5093046704

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              152726.80,        152.73,        0.0
       2,              242728.50,         90.00,      818.4
       3,              333179.70,         90.45,      586.6
       4,              428724.50,         95.54,      586.1
       5,              518735.80,         90.01,      473.1
       6,              613216.30,         94.48,      446.0
       7,              713155.20,         99.94,      454.7
       8,              813336.90,        100.18,      415.5
       9,              904628.30,         91.29,      456.7
      10,              995636.70,         91.01,      388.6
      11,             1093128.70,         97.49,      449.4
      12,             1188847.70,         95.72,      426.1
      13,             1281547.70,         92.70,      450.5
      14,             1378880.90,         97.33,      381.3
      15,             1479656.00,        100.78,      460.9
      16,             1570308.00,         90.65,      627.0
      17,             1662536.40,         92.23,      955.7
      18,             1762821.90,        100.29,      818.0
      19,             1860546.80,         97.72,      672.3
      20,             1963421.30,        102.87,      691.0
      21,             2064201.10,        100.78,      705.1
      22,             2158545.40,         94.34,      692.6
      23,             2248775.20,         90.23,      587.3
      24,             2342364.70,         93.59,      762.9
      25,             2432645.70,         90.28,      604.7
      26,             2524194.40,         91.55,      666.4
      27,             2614692.10,         90.50,      695.6
      28,             2711277.30,         96.59,      746.0
      29,             2803826.00,         92.55,      676.1
      30,             2896749.30,         92.92,      619.5
      31,             2991912.80,         95.16,      567.5
      32,             3082001.90,         90.09,      666.7
      33,             3180799.80,         98.80,      747.2
      34,             3271733.10,         90.93,      552.2
      35,             3364834.20,         93.10,      778.0
      36,             3455059.60,         90.23,      784.9
      37,             3545090.40,         90.03,      477.8
      38,             3637419.90,         92.33,      442.2
      39,             3731519.40,         94.10,      348.9
      40,             3824478.50,         92.96,      440.4
      41,             3914956.40,         90.48,      425.8
      42,             4013642.20,         98.69,      431.1
      43,             4103759.00,         90.12,      380.7
      44,             4195178.20,         91.42,      497.8
      45,             4288947.70,         93.77,      595.4
      46,             4379630.10,         90.68,      644.7
      47,             4473876.70,         94.25,      792.2
      48,             4564729.10,         90.85,      777.6
      49,             4658084.50,         93.36,      586.9
      50,             4748107.90,         90.02,      615.0
      51,             4840408.00,         92.30,      631.1
      52,             4930566.90,         90.16,      585.1
      53,             5021364.00,         90.80,      508.2
      54,             5112838.40,         91.47,      607.5
      55,             5207980.30,         95.14,      667.8
      56,             5298188.10,         90.21,      715.8
      57,             5396457.50,         98.27,      546.9
      58,             5496528.90,        100.07,      653.4
      59,             5587113.20,         90.58,      629.0
      60,             5681572.30,         94.46,      599.3
      61,             5781434.20,         99.86,      675.2
      62,             5876493.90,         95.06,      704.0
      63,             5966921.60,         90.43,      517.0
      64,             6063044.40,         96.12,      627.5
      65,             6162589.60,         99.55,      660.8
      66,             6254294.70,         91.71,      659.9
      67,             6345447.30,         91.15,      565.9
      68,             6438773.00,         93.33,      648.7
      69,             6531367.10,         92.59,      768.9
      70,             6624661.10,         93.29,      694.3
      71,             6714758.60,         90.10,      532.7
      72,             6808959.30,         94.20,      582.8
      73,             6898979.40,         90.02,      512.8
      74,             6989689.30,         90.71,      532.8
      75,             7080111.30,         90.42,      740.5
      76,             7178345.20,         98.23,      835.9
      77,             7271314.60,         92.97,      621.9
      78,             7361462.20,         90.15,      788.8
      79,             7451464.80,         90.00,     1046.7
      80,             7541467.80,         90.00,      801.3
      81,             7631524.50,         90.06,      797.3
      82,             7721668.60,         90.14,      618.7
      83,             7811702.90,         90.03,      723.8
      84,             7913530.20,        101.83,      753.9
      85,             8004966.40,         91.44,      661.3
      86,             8095547.50,         90.58,      750.9
      87,             8189286.60,         93.74,      802.4
      88,             8281393.70,         92.11,     1073.3
      89,             8374864.40,         93.47,      655.8
      90,             8464873.60,         90.01,      902.8
      91,             8554988.90,         90.12,      771.3
      92,             8645166.20,         90.18,      876.7
      93,             8744860.50,         99.69,      754.0
      94,             8836963.20,         92.10,      497.9
      95,             8931361.40,         94.40,      699.0
      96,             9031406.10,        100.04,      716.1
      97,             9124930.20,         93.52,      595.3
      98,             9214932.40,         90.00,      548.6
      99,             9312901.40,         97.97,      616.0
     100,             9403807.50,         90.91,      581.4
     101,             9498093.10,         94.29,      595.9
     102,             9593984.50,         95.89,      602.7
     103,             9683993.60,         90.01,      640.0
     104,             9778989.50,         95.00,      644.2
     105,             9881414.80,        102.43,      751.0
     106,             9974996.00,         93.58,     1071.8
     107,            10065037.00,         90.04,      923.5
     108,            10155582.10,         90.55,      925.6
     109,            10245691.90,         90.11,      730.3
     110,            10344590.70,         98.90,      790.0
     111,            10436713.80,         92.12,      871.2
     112,            10527487.60,         90.77,      834.5
     113,            10617723.10,         90.24,      708.0
     114,            10714088.40,         96.37,     1007.6
     115,            10806013.00,         91.92,      900.4
     116,            10898072.30,         92.06,     1042.4
     117,            10994766.50,         96.69,      887.7
     118,            11084906.40,         90.14,      724.9
     119,            11175591.40,         90.69,      837.0
     120,            11265602.40,         90.01,      811.6
     121,            11355920.50,         90.32,     1009.2
     122,            11446122.80,         90.20,      938.4
     123,            11550664.70,        104.54,     1187.6
     124,            11648037.60,         97.37,      697.9
     125,            11738483.90,         90.45,      613.6
     126,            11831433.10,         92.95,      762.9
     127,            11924599.60,         93.17,      664.9
     128,            12014793.00,         90.19,      642.2
     129,            12104994.40,         90.20,      834.8
     130,            12196593.50,         91.60,      890.4
     131,            12295951.90,         99.36,      910.7
     132,            12396495.10,        100.54,      746.5
     133,            12486496.40,         90.00,      700.9
     134,            12576984.40,         90.49,      868.8
     135,            12667083.20,         90.10,      568.8
     136,            12757343.30,         90.26,      790.2
     137,            12848095.20,         90.75,      612.8
     138,            12938142.40,         90.05,      605.0
     139,            13031402.60,         93.26,      663.3
     140,            13131400.70,        100.00,      637.3
     141,            13221581.50,         90.18,      675.5
     142,            13312669.70,         91.09,      678.8
     143,            13402677.00,         90.01,      589.5
     144,            13492774.20,         90.10,      618.5
     145,            13582775.10,         90.00,      581.5
     146,            13681426.10,         98.65,      642.7
     147,            13778527.40,         97.10,      513.6
     148,            13876661.60,         98.13,      694.2
     149,            13967004.70,         90.34,      452.8
     150,            14059815.00,         92.81,      624.7
     151,            14150552.00,         90.74,      602.4
     152,            14246400.20,         95.85,      522.3
     153,            14337965.50,         91.57,      526.6
     154,            14432065.40,         94.10,      437.0
     155,            14531844.30,         99.78,      453.6
     156,            14627008.50,         95.16,      485.1
     157,            14717330.20,         90.32,      515.0
     158,            14814147.80,         96.82,      526.8
     159,            14907006.60,         92.86,      466.5
     160,            14998258.50,         91.25,      413.2
     161,            15095331.30,         97.07,      570.3
     162,            15185925.50,         90.59,      455.1
     163,            15281039.90,         95.11,      512.2
     164,            15381594.30,        100.55,      470.6
     165,            15472117.20,         90.52,      447.9
     166,            15565015.10,         92.90,      451.2
     167,            15664909.20,         99.89,      543.4
     168,            15755049.70,         90.14,      499.5
     169,            15845489.40,         90.44,      405.2
     170,            15937918.10,         92.43,      405.2
