--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_mobilenetv2_fp32 

Program Started: N/A
Data Collection Started: 2026-05-03 17:33:43 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 21.8368
Collection begin timestamp: 5110137282
Collection end timestamp: 5328498808

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              150286.70,        150.29,        0.0
       2,              240552.40,         90.27,      388.4
       3,              332455.50,         91.90,      479.2
       4,              424497.10,         92.04,      482.4
       5,              514557.90,         90.06,      510.9
       6,              606708.90,         92.15,      373.0
       7,              708356.40,        101.65,      552.4
       8,              805270.90,         96.91,      503.7
       9,              906362.10,        101.09,      584.8
      10,             1006386.50,        100.02,      516.6
      11,             1097826.00,         91.44,      390.9
      12,             1188411.10,         90.59,      455.1
      13,             1290025.90,        101.61,      437.3
      14,             1381631.90,         91.61,      489.0
      15,             1472628.90,         91.00,      500.5
      16,             1562879.90,         90.25,      519.5
      17,             1653942.10,         91.06,      846.9
      18,             1758366.40,        104.42,     1029.6
      19,             1856429.80,         98.06,      796.3
      20,             1951338.40,         94.91,      688.8
      21,             2041527.70,         90.19,      772.6
      22,             2136489.60,         94.96,      713.0
      23,             2226516.90,         90.03,      667.2
      24,             2324141.60,         97.62,      765.3
      25,             2418560.30,         94.42,      712.0
      26,             2508563.20,         90.00,      669.7
      27,             2603692.20,         95.13,      807.6
      28,             2700581.60,         96.89,      789.3
      29,             2791391.90,         90.81,      597.2
      30,             2888026.30,         96.63,      618.3
      31,             2982186.70,         94.16,      655.2
      32,             3072850.90,         90.66,      565.7
      33,             3174965.00,        102.11,      737.7
      34,             3265071.00,         90.11,      446.4
      35,             3358452.50,         93.38,      602.4
      36,             3458065.20,         99.61,      947.4
      37,             3556744.10,         98.68,      431.9
      38,             3647868.80,         91.12,      450.6
      39,             3739115.20,         91.25,      449.8
      40,             3829121.50,         90.01,      442.2
      41,             3919917.50,         90.80,      371.0
      42,             4010384.60,         90.47,      369.9
      43,             4107360.30,         96.98,      393.2
      44,             4198594.70,         91.23,      471.1
      45,             4290426.60,         91.83,      603.9
      46,             4383672.90,         93.25,      588.5
      47,             4474368.80,         90.70,      734.0
      48,             4574937.90,        100.57,      747.3
      49,             4670193.20,         95.26,      611.3
      50,             4760271.50,         90.08,      595.3
      51,             4854849.50,         94.58,      678.2
      52,             4952441.70,         97.59,      731.7
      53,             5043259.60,         90.82,      623.6
      54,             5139827.60,         96.57,      710.1
      55,             5232521.50,         92.69,      641.1
      56,             5324956.90,         92.44,      656.6
      57,             5417238.50,         92.28,      728.4
      58,             5508378.40,         91.14,      653.9
      59,             5605268.00,         96.89,      694.1
      60,             5695518.80,         90.25,      726.3
      61,             5790713.00,         95.19,      686.2
      62,             5882041.60,         91.33,      511.4
      63,             5973784.50,         91.74,      599.6
      64,             6064184.50,         90.40,      549.0
      65,             6158075.20,         93.89,      578.5
      66,             6248302.60,         90.23,      516.1
      67,             6338336.80,         90.03,      559.3
      68,             6433854.60,         95.52,      639.3
      69,             6524385.40,         90.53,      606.4
      70,             6621307.10,         96.92,      579.7
      71,             6718261.10,         96.95,      578.7
      72,             6808287.50,         90.03,      491.2
      73,             6904786.30,         96.50,      739.5
      74,             7008624.60,        103.84,      997.9
      75,             7108383.50,         99.76,      694.0
      76,             7199703.60,         91.32,      831.2
      77,             7289858.70,         90.16,     1212.7
      78,             7380416.90,         90.56,     1147.3
      79,             7470835.20,         90.42,      980.0
      80,             7563731.60,         92.90,     1212.9
      81,             7655979.50,         92.25,      595.5
      82,             7758239.90,        102.26,      660.3
      83,             7848519.80,         90.28,      502.0
      84,             7940848.50,         92.33,      652.8
      85,             8041537.60,        100.69,      505.5
      86,             8132183.60,         90.65,      661.1
      87,             8222222.70,         90.04,     1017.6
      88,             8312227.70,         90.00,     1234.9
      89,             8402316.40,         90.09,     1362.5
      90,             8492365.00,         90.05,     1004.5
      91,             8582708.10,         90.34,     1041.7
      92,             8674474.10,         91.77,      730.2
      93,             8771004.20,         96.53,      691.9
      94,             8862087.50,         91.08,      638.8
      95,             8955579.90,         93.49,      614.3
      96,             9047674.60,         92.09,      659.9
      97,             9139636.00,         91.96,      545.0
      98,             9234031.00,         94.39,      659.9
      99,             9324911.20,         90.88,      606.3
     100,             9415002.80,         90.09,      550.5
     101,             9508230.60,         93.23,      597.2
     102,             9608302.70,        100.07,      584.8
     103,             9708253.40,         99.95,      668.4
     104,             9798326.60,         90.07,      722.4
     105,             9888627.10,         90.30,      836.3
     106,             9981411.90,         92.78,      929.8
     107,            10074040.90,         92.63,      831.9
     108,            10168672.40,         94.63,      707.8
     109,            10258776.20,         90.10,      594.5
     110,            10348848.30,         90.07,      566.1
     111,            10440949.70,         92.10,      620.4
     112,            10538927.10,         97.98,      569.8
     113,            10642182.50,        103.26,      950.9
     114,            10741863.20,         99.68,      864.4
     115,            10842420.90,        100.56,      657.2
     116,            10942130.50,         99.71,      788.7
     117,            11046573.40,        104.44,      774.5
     118,            11141801.00,         95.23,     1028.3
     119,            11238054.30,         96.25,      728.3
     120,            11338423.20,        100.37,      963.1
     121,            11433191.90,         94.77,      959.9
     122,            11524874.80,         91.68,      745.8
     123,            11615618.40,         90.74,      770.9
     124,            11708582.30,         92.96,      793.8
     125,            11842245.40,        133.66,     1108.2
     126,            11961837.80,        119.59,      882.5
     127,            12075268.40,        113.43,     1279.5
     128,            12192638.80,        117.37,     1409.9
     129,            12289272.00,         96.63,      602.4
     130,            12380574.40,         91.30,      668.3
     131,            12470696.10,         90.12,      738.2
     132,            12560995.60,         90.30,      681.2
     133,            12657801.90,         96.81,      822.1
     134,            12758337.50,        100.54,      662.6
     135,            12852760.40,         94.42,      973.8
     136,            12942775.00,         90.01,      630.2
     137,            13032846.90,         90.07,      583.9
     138,            13123019.30,         90.17,      575.6
     139,            13224889.90,        101.87,      761.5
     140,            13315299.70,         90.41,      677.3
     141,            13405303.60,         90.00,      778.9
     142,            13495400.70,         90.10,      560.6
     143,            13589064.80,         93.66,      719.1
     144,            13680160.00,         91.10,      696.7
     145,            13770407.10,         90.25,     1297.1
     146,            13860479.30,         90.07,     1070.3
     147,            13956964.10,         96.48,      458.4
     148,            14055507.90,         98.54,      768.4
     149,            14156776.10,        101.27,      733.6
     150,            14247048.50,         90.27,      574.6
     151,            14341618.50,         94.57,      694.5
     152,            14438514.50,         96.90,      777.3
     153,            14528644.40,         90.13,      603.4
     154,            14623728.40,         95.08,      664.9
     155,            14714057.40,         90.33,      743.7
     156,            14804068.30,         90.01,      857.7
     157,            14894110.80,         90.04,      496.4
     158,            14984159.60,         90.05,      582.9
     159,            15092411.90,        108.25,      918.9
     160,            15208822.90,        116.41,      834.0
     161,            15326219.00,        117.40,      785.8
     162,            15442317.80,        116.10,      733.8
     163,            15542494.70,        100.18,      711.1
     164,            15663000.10,        120.51,      809.3
     165,            15753830.80,         90.83,     1037.4
     166,            15859027.60,        105.20,      764.0
     167,            15958848.40,         99.82,      679.4
     168,            16058900.70,        100.05,      689.7
     169,            16175476.00,        116.58,      862.2
     170,            16275570.60,        100.09,      896.9
     171,            16376329.40,        100.76,      743.8
     172,            16475440.10,         99.11,      763.9
     173,            16575420.90,         99.98,      653.9
     174,            16665746.30,         90.33,      897.9
     175,            16758346.10,         92.60,     1356.8
     176,            16856361.20,         98.02,      903.7
     177,            16975513.60,        119.15,     1211.4
     178,            17108785.10,        133.27,     1123.0
     179,            17226983.10,        118.20,      964.2
     180,            17325546.60,         98.56,      856.9
     181,            17446053.70,        120.51,      902.2
     182,            17542296.40,         96.24,      850.1
     183,            17642047.90,         99.75,      930.2
     184,            17741936.80,         99.89,      599.4
     185,            17858926.00,        116.99,     1049.8
     186,            17958408.90,         99.48,      658.1
     187,            18058693.80,        100.28,      885.6
     188,            18158120.20,         99.43,      917.1
     189,            18253440.00,         95.32,      573.2
     190,            18343583.10,         90.14,      604.3
     191,            18439588.70,         96.01,      824.6
     192,            18538150.20,         98.56,     1002.4
     193,            18631720.80,         93.57,      824.7
     194,            18725053.30,         93.33,     1024.5
     195,            18818942.60,         93.89,      941.4
     196,            18926168.90,        107.23,      912.0
     197,            19025650.50,         99.48,      686.2
     198,            19158829.90,        133.18,      891.0
     199,            19275653.10,        116.82,      964.9
     200,            19392185.70,        116.53,      725.9
     201,            19508873.60,        116.69,      839.8
     202,            19614287.50,        105.41,      761.4
     203,            19704287.60,         90.00,      911.3
     204,            19794881.40,         90.59,      859.9
     205,            19892101.40,         97.22,      674.7
     206,            19992128.10,        100.03,      608.7
     207,            20108819.90,        116.69,      827.5
     208,            20242136.50,        133.32,     1038.3
     209,            20341976.10,         99.84,      606.4
     210,            20442147.10,        100.17,      760.2
     211,            20542060.70,         99.91,      602.2
     212,            20642058.70,        100.00,      606.4
     213,            20758829.60,        116.77,      638.1
     214,            20875459.20,        116.63,      841.2
     215,            20992296.60,        116.84,      936.2
     216,            21092108.90,         99.81,      703.7
     217,            21192582.50,        100.47,      732.8
     218,            21297228.10,        104.65,      585.2
     219,            21409217.10,        111.99,      613.3
     220,            21512607.50,        103.39,      636.2
     221,            21609462.80,         96.86,      587.7
     222,            21708649.10,         99.19,      577.9
     223,            21808781.40,        100.13,      717.8
     224,            21810199.00,          1.42,        0.0

Package Power - CPU/Package_0 : Instantaneous rate
Sample #, Continuous Time (usec), Duration (ms), Power (mW)
       1,              150286.70,        150.29,       0.00
       2,              240552.40,         90.27,    4302.48
       3,              332455.50,         91.90,    5214.05
       4,              424497.10,         92.04,    5241.35
       5,              514557.90,         90.06,    5673.12
       6,              606708.90,         92.15,    4047.55
       7,              708356.40,        101.65,    5434.15
       8,              805270.90,         96.91,    5196.97
       9,              906362.10,        101.09,    5785.26
      10,             1006386.50,        100.02,    5164.76
      11,             1097826.00,         91.44,    4274.62
      12,             1188411.10,         90.59,    5023.76
      13,             1290025.90,        101.61,    4303.67
      14,             1381631.90,         91.61,    5338.23
      15,             1472628.90,         91.00,    5500.05
      16,             1562879.90,         90.25,    5755.84
      17,             1653942.10,         91.06,    9299.83
      18,             1758366.40,        104.42,    9859.79
      19,             1856429.80,         98.06,    8120.52
      20,             1951338.40,         94.91,    7257.32
      21,             2041527.70,         90.19,    8566.91
      22,             2136489.60,         94.96,    7507.77
      23,             2226516.90,         90.03,    7411.49
      24,             2324141.60,         97.62,    7839.41
      25,             2418560.30,         94.42,    7540.62
      26,             2508563.20,         90.00,    7441.30
      27,             2603692.20,         95.13,    8489.71
      28,             2700581.60,         96.89,    8146.47
      29,             2791391.90,         90.81,    6576.67
      30,             2888026.30,         96.63,    6398.20
      31,             2982186.70,         94.16,    6958.47
      32,             3072850.90,         90.66,    6239.22
      33,             3174965.00,        102.11,    7223.99
      34,             3265071.00,         90.11,    4954.29
      35,             3358452.50,         93.38,    6450.48
      36,             3458065.20,         99.61,    9511.32
      37,             3556744.10,         98.68,    4376.67
      38,             3647868.80,         91.12,    4944.45
      39,             3739115.20,         91.25,    4929.16
      40,             3829121.50,         90.01,    4912.99
      41,             3919917.50,         90.80,    4086.44
      42,             4010384.60,         90.47,    4088.48
      43,             4107360.30,         96.98,    4055.13
      44,             4198594.70,         91.23,    5163.29
      45,             4290426.60,         91.83,    6576.61
      46,             4383672.90,         93.25,    6311.25
      47,             4474368.80,         90.70,    8093.08
      48,             4574937.90,        100.57,    7430.86
      49,             4670193.20,         95.26,    6417.79
      50,             4760271.50,         90.08,    6609.10
      51,             4854849.50,         94.58,    7171.04
      52,             4952441.70,         97.59,    7497.42
      53,             5043259.60,         90.82,    6866.45
      54,             5139827.60,         96.57,    7353.19
      55,             5232521.50,         92.69,    6916.46
      56,             5324956.90,         92.44,    7102.85
      57,             5417238.50,         92.28,    7893.16
      58,             5508378.40,         91.14,    7174.35
      59,             5605268.00,         96.89,    7163.74
      60,             5695518.80,         90.25,    8047.10
      61,             5790713.00,         95.19,    7208.61
      62,             5882041.60,         91.33,    5599.71
      63,             5973784.50,         91.74,    6535.76
      64,             6064184.50,         90.40,    6073.13
      65,             6158075.20,         93.89,    6161.33
      66,             6248302.60,         90.23,    5720.14
      67,             6338336.80,         90.03,    6212.37
      68,             6433854.60,         95.52,    6693.45
      69,             6524385.40,         90.53,    6698.10
      70,             6621307.10,         96.92,    5981.24
      71,             6718261.10,         96.95,    5968.55
