--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_mobilenetv2_int8 

Program Started: N/A
Data Collection Started: 2026-05-03 17:34:06 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 25.7899
Collection begin timestamp: 5345310462
Collection end timestamp: 5603205454

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              153009.00,        153.01,        0.0
       2,              243140.00,         90.13,      481.4
       3,              339779.20,         96.64,      473.1
       4,              430915.30,         91.14,      501.0
       5,              525042.50,         94.13,      425.8
       6,              624738.20,         99.70,      548.8
       7,              724484.80,         99.75,      466.6
       8,              814508.20,         90.02,      475.9
       9,              904532.70,         90.02,      429.4
      10,              994616.80,         90.08,      445.6
      11,             1089299.10,         94.68,      441.3
      12,             1189107.70,         99.81,      443.6
      13,             1289259.60,        100.15,      468.2
      14,             1389802.80,        100.54,      463.4
      15,             1479993.20,         90.19,      444.6
      16,             1570049.40,         90.06,      715.9
      17,             1660151.00,         90.10,      896.8
      18,             1757604.80,         97.45,      654.0
      19,             1856284.50,         98.68,      679.6
      20,             1957644.80,        101.36,      741.8
      21,             2052012.10,         94.37,      616.6
      22,             2142020.40,         90.01,      560.1
      23,             2239001.00,         96.98,      571.2
      24,             2333601.40,         94.60,      613.6
      25,             2424319.60,         90.72,      598.0
      26,             2524068.90,         99.75,      640.3
      27,             2618673.00,         94.60,      650.8
      28,             2709082.30,         90.41,      605.5
      29,             2807299.80,         98.22,      705.0
      30,             2902665.60,         95.37,      661.1
      31,             2992696.90,         90.03,      454.5
      32,             3091137.00,         98.44,      674.1
      33,             3181277.50,         90.14,      611.1
      34,             3274297.90,         93.02,      436.3
      35,             3366011.20,         91.71,      719.0
      36,             3456620.80,         90.61,     1242.6
      37,             3561151.40,        104.53,      701.9
      38,             3674795.00,        113.64,      578.4
      39,             3792079.90,        117.28,      522.2
      40,             4474027.70,        681.95,     3626.8
      41,             5497923.80,       1023.90,     6647.3
      42,             5589410.70,         91.49,      558.0
      43,             5680388.10,         90.98,      670.5
      44,             5771033.30,         90.65,      560.6
      45,             5869997.60,         98.96,      586.9
      46,             5965417.60,         95.42,      801.5
      47,             6057671.70,         92.25,      573.9
      48,             6148328.40,         90.66,      693.0
      49,             6238556.70,         90.23,      727.2
      50,             6333203.60,         94.65,      515.7
      51,             6424315.60,         91.11,      619.8
      52,             6517695.90,         93.38,      651.1
      53,             6608246.50,         90.55,      553.5
      54,             6707401.00,         99.15,      605.5
      55,             6799492.70,         92.09,      495.9
      56,             6890987.60,         91.49,      674.4
      57,             7002526.40,        111.54,      834.0
      58,             7093301.80,         90.78,      633.7
      59,             7188061.40,         94.76,      674.0
      60,             7281366.50,         93.31,      700.3
      61,             7374366.10,         93.00,      521.7
      62,             7471196.50,         96.83,      642.9
      63,             7563404.80,         92.21,      660.0
      64,             7653431.60,         90.03,      671.0
      65,             7744170.80,         90.74,      987.7
      66,             7834201.00,         90.03,      860.5
      67,             7924396.70,         90.20,      826.9
      68,             8014431.40,         90.03,      589.5
      69,             8105200.00,         90.77,      774.1
      70,             8203082.20,         97.88,      836.5
      71,             8293417.20,         90.33,      695.6
      72,             8390932.80,         97.52,      837.7
      73,             8488685.00,         97.75,      664.6
      74,             8588844.50,        100.16,      782.5
      75,             8689368.10,        100.52,      740.4
      76,             8789111.60,         99.74,      609.8
      77,             8880723.00,         91.61,      668.9
      78,             8971002.80,         90.28,      750.1
      79,             9061398.70,         90.40,      819.5
      80,             9151433.70,         90.03,      993.0
      81,             9257730.90,        106.30,     1095.8
      82,             9355352.90,         97.62,      657.7
      83,             9454527.00,         99.17,      675.7
      84,             9547068.80,         92.54,      613.2
      85,             9638906.80,         91.84,      621.8
      86,             9734060.00,         95.15,      626.9
      87,             9824283.90,         90.22,      469.3
      88,             9918567.40,         94.28,      580.5
      89,            10009030.70,         90.46,      556.3
      90,            10107639.80,         98.61,      651.9
      91,            10207647.60,        100.01,      641.0
      92,            10297761.20,         90.11,      491.1
      93,            10388591.50,         90.83,      578.6
      94,            10478604.10,         90.01,      798.5
      95,            10568632.60,         90.03,      996.5
      96,            10658725.00,         90.09,      860.4
      97,            10757631.50,         98.91,      918.6
      98,            10857756.20,        100.12,      819.4
      99,            10947918.30,         90.16,      639.5
     100,            11041030.20,         93.11,      781.5
     101,            11138184.00,         97.15,      914.2
     102,            11240958.00,        102.77,      963.0
     103,            11337338.90,         96.38,      792.0
     104,            11427802.00,         90.46,      745.9
     105,            11522894.00,         95.09,      819.2
     106,            11622782.70,         99.89,     1012.4
     107,            11718156.20,         95.37,      721.3
     108,            11808531.30,         90.38,      764.1
     109,            11901119.40,         92.59,      738.8
     110,            11991121.30,         90.00,      740.9
     111,            12090974.40,         99.85,     1023.0
     112,            12185926.10,         94.95,      520.8
     113,            12276411.60,         90.49,      767.9
     114,            12368191.80,         91.78,      619.3
     115,            12459809.00,         91.62,      704.5
     116,            12550388.00,         90.58,      518.3
     117,            12640395.60,         90.01,      611.9
     118,            12738349.20,         97.95,      768.6
     119,            12829428.20,         91.08,      712.4
     120,            12921904.10,         92.48,      687.8
     121,            13024304.50,        102.40,      759.3
     122,            13365355.10,        341.05,     2456.7
     123,            13455547.50,         90.19,      856.8
     124,            13545550.60,         90.00,     1107.2
     125,            13635596.40,         90.05,     1041.3
     126,            13725845.90,         90.25,      571.9
     127,            13815877.60,         90.03,      506.7
     128,            13907653.30,         91.78,      735.5
     129,            13998922.70,         91.27,      806.1
     130,            14090952.30,         92.03,      669.8
     131,            14188353.80,         97.40,      823.2
     132,            14278604.00,         90.25,      647.4
     133,            14374310.10,         95.71,      791.4
     134,            14474308.30,        100.00,      637.6
     135,            14570650.50,         96.34,      683.5
     136,            14673276.40,        102.63,      514.7
     137,            14763607.40,         90.33,      546.0
     138,            14857719.30,         94.11,      771.4
     139,            14951813.10,         94.09,      633.8
     140,            15042347.90,         90.53,      594.0
     141,            15134593.60,         92.25,      684.9
     142,            15225138.40,         90.54,      651.6
     143,            15318484.10,         93.35,      667.6
     144,            15409199.20,         90.72,      533.6
     145,            15506674.70,         97.48,      772.1
     146,            15597472.60,         90.80,      598.0
     147,            15691042.10,         93.57,      617.0
     148,            15789170.50,         98.13,      643.9
     149,            15885386.40,         96.22,      671.0
     150,            15975388.20,         90.00,      697.6
     151,            16065391.00,         90.00,     1155.9
     152,            16155399.00,         90.01,     1006.4
     153,            16245878.10,         90.48,      794.1
     154,            16339272.40,         93.39,      619.0
     155,            16441095.90,        101.82,      720.2
     156,            16536614.50,         95.52,      700.0
     157,            16629598.40,         92.98,      522.7
     158,            16721364.50,         91.77,      612.0
     159,            16811446.80,         90.08,      657.9
     160,            16907657.30,         96.21,      595.3
     161,            17005146.00,         97.49,      693.8
     162,            17095180.80,         90.03,      738.7
     163,            17186061.80,         90.88,      496.0
     164,            17276179.10,         90.12,      683.3
     165,            17368736.10,         92.56,      542.5
     166,            17459512.40,         90.78,      654.0
     167,            17552750.70,         93.24,      525.6
     168,            17643221.70,         90.47,      529.7
     169,            17733653.50,         90.43,      535.8
     170,            17824344.20,         90.69,      534.4
     171,            17914491.90,         90.15,      615.2
     172,            18007812.90,         93.32,      503.2
     173,            18097873.20,         90.06,      376.3
     174,            18191623.80,         93.75,      420.3
     175,            18282269.70,         90.65,      543.6
     176,            18372287.50,         90.02,      406.5
     177,            18470621.50,         98.33,      481.6
     178,            18561481.70,         90.86,      534.9
     179,            18655216.90,         93.74,      552.8
     180,            18746487.90,         91.27,      606.5
     181,            18838720.80,         92.23,      765.4
     182,            18939379.70,        100.66,      993.5
     183,            19039087.30,         99.71,      797.5
     184,            19130615.50,         91.53,      670.8
     185,            19221161.90,         90.55,      631.2
     186,            19311191.60,         90.03,      651.1
     187,            19410182.80,         98.99,      596.1
     188,            19500418.90,         90.24,      661.8
     189,            19593669.40,         93.25,      685.7
     190,            19688069.70,         94.40,      879.6
     191,            19779385.30,         91.32,      699.1
     192,            19871422.00,         92.04,      736.1
     193,            19968788.40,         97.37,      711.1
     194,            20059627.70,         90.84,      781.3
     195,            20150194.50,         90.57,      717.3
     196,            20241008.60,         90.81,      624.3
     197,            20338573.50,         97.56,      783.1
     198,            20428861.20,         90.29,      419.1
     199,            20527485.30,         98.62,      784.2
     200,            20628519.90,        101.03,      528.9
     201,            20722695.70,         94.18,      567.9
     202,            20824501.10,        101.81,      511.6
     203,            20924555.70,        100.05,      644.0
     204,            21024474.60,         99.92,      548.8
     205,            21114984.30,         90.51,      468.6
     206,            21207858.10,         92.87,      488.0
     207,            21307874.60,        100.02,      528.2
     208,            21407871.40,        100.00,      645.4
     209,            21500836.90,         92.97,      474.3
     210,            21591135.90,         90.30,      529.8
     211,            21688944.80,         97.81,      532.0
     212,            21790388.80,        101.44,      517.4
     213,            21889495.60,         99.11,      575.6
     214,            21991177.10,        101.68,      555.8
     215,            22089252.80,         98.08,      510.1
     216,            22191180.90,        101.93,      466.3
     217,            22289510.70,         98.33,      516.9
     218,            22389200.90,         99.69,      502.6
     219,            22480363.10,         91.16,      640.9
     220,            22574533.70,         94.17,      499.8
     221,            22674485.90,         99.95,      478.2
     222,            22769300.00,         94.81,      518.9
     223,            22859590.30,         90.29,      477.6
     224,            22956575.20,         96.98,      610.5
     225,            23057809.40,        101.23,      486.5
     226,            23154601.60,         96.79,      444.4
     227,            23257829.50,        103.23,      586.1
     228,            23356546.30,         98.72,      490.8
     229,            23457849.60,        101.30,      562.5
     230,            23550798.20,         92.95,      508.2
     231,            23641174.30,         90.38,      458.4
     232,            23731757.10,         90.58,      566.1
     233,            23824503.20,         92.75,      525.4
     234,            23920137.10,         95.63,      581.3
     235,            24021601.70,        101.46,      591.2
     236,            24113039.70,         91.44,      630.9
     237,            24206386.70,         93.35,      679.1
     238,            24296455.50,         90.07,      602.6
     239,            24391323.60,         94.87,      544.4
     240,            24488485.70,         97.16,      509.2
     241,            24591181.20,        102.70,      622.4
     242,            24681414.40,         90.23,      623.9
     243,            24772635.80,         91.22,      752.7
     244,            24863811.10,         91.18,      426.5
     245,            24955176.80,         91.37,      627.9
     246,            25050499.10,         95.32,      592.7
     247,            25140863.10,         90.36,      649.8
     248,            25239354.10,         98.49,      713.7
     249,            25329358.00,         90.00,      523.4
     250,            25422684.50,         93.33,      559.2
     251,            25523714.40,        101.03,      618.3
     252,            25614013.50,         90.30,      634.8
     253,            25705538.40,         91.52,      726.8
     254,            25757069.90,         51.53,      446.3

Package Power - CPU/Package_0 : Instantaneous rate
Sample #, Continuous Time (usec), Duration (ms), Power (mW)
       1,              153009.00,        153.01,       0.00
       2,              243140.00,         90.13,    5340.94
       3,              339779.20,         96.64,    4895.99
       4,              430915.30,         91.14,    5497.02
       5,              525042.50,         94.13,    4524.12
       6,              624738.20,         99.70,    5504.42
       7,              724484.80,         99.75,    4677.99
       8,              814508.20,         90.02,    5286.30
       9,              904532.70,         90.02,    4769.62
      10,              994616.80,         90.08,    4946.01
      11,             1089299.10,         94.68,    4660.68
      12,             1189107.70,         99.81,    4444.54
      13,             1289259.60,        100.15,    4674.91
      14,             1389802.80,        100.54,    4609.36
      15,             1479993.20,         90.19,    4929.35
      16,             1570049.40,         90.06,    7949.95
      17,             1660151.00,         90.10,    9953.09
      18,             1757604.80,         97.45,    6710.79
      19,             1856284.50,         98.68,    6887.20
      20,             1957644.80,        101.36,    7318.06
      21,             2052012.10,         94.37,    6533.80
      22,             2142020.40,         90.01,    6222.98
      23,             2239001.00,         96.98,    5889.50
      24,             2333601.40,         94.60,    6486.09
      25,             2424319.60,         90.72,    6592.09
      26,             2524068.90,         99.75,    6419.29
      27,             2618673.00,         94.60,    6879.38
      28,             2709082.30,         90.41,    6696.97
      29,             2807299.80,         98.22,    7177.50
      30,             2902665.60,         95.37,    6931.96
      31,             2992696.90,         90.03,    5047.89
      32,             3091137.00,         98.44,    6847.54
      33,             3181277.50,         90.14,    6779.24
      34,             3274297.90,         93.02,    4690.80
      35,             3366011.20,         91.71,    7839.58
      36,             3456620.80,         90.61,   13713.94
      37,             3561151.40,        104.53,    6714.82
      38,             3674795.00,        113.64,    5089.86
      39,             3792079.90,        117.28,    4452.55
      40,             4474027.70,        681.95,    5318.34
      41,             5497923.80,       1023.90,    6492.20
      42,             5589410.70,         91.49,    6099.05
      43,             5680388.10,         90.98,    7369.65
      44,             5771033.30,         90.65,    6184.64
      45,             5869997.60,         98.96,    5929.95
      46,             5965417.60,         95.42,    8399.21
      47,             6057671.70,         92.25,    6220.35
      48,             6148328.40,         90.66,    7644.15
      49,             6238556.70,         90.23,    8059.25
      50,             6333203.60,         94.65,    5448.53
      51,             6424315.60,         91.11,    6802.08
      52,             6517695.90,         93.38,    6972.81
      53,             6608246.50,         90.55,    6112.24
      54,             6707401.00,         99.15,    6106.32
      55,             6799492.70,         92.09,    5384.97
      56,             6890987.60,         91.49,    7371.32
      57,             7002526.40,        111.54,    7477.08
      58,             7093301.80,         90.78,    6980.60
      59,             7188061.40,         94.76,    7112.21
      60,             7281366.50,         93.31,    7505.02
      61,             7374366.10,         93.00,    5610.01
      62,             7471196.50,         96.83,    6639.90
      63,             7563404.80,         92.21,    7157.42
      64,             7653431.60,         90.03,    7452.89
      65,             7744170.80,         90.74,   10884.72
      66,             7834201.00,         90.03,    9557.61
      67,             7924396.70,         90.20,    9167.89
      68,             8014431.40,         90.03,    6547.90
      69,             8105200.00,         90.77,    8528.38
      70,             8203082.20,         97.88,    8546.48
      71,             8293417.20,         90.33,    7700.42
      72,             8390932.80,         97.52,    8590.50
      73,             8488685.00,         97.75,    6798.94
      74,             8588844.50,        100.16,    7812.86
      75,             8689368.10,        100.52,    7365.00
      76,             8789111.60,         99.74,    6113.70
      77,             8880723.00,         91.61,    7301.99
      78,             8971002.80,         90.28,    8308.86
      79,             9061398.70,         90.40,    9065.89
      80,             9151433.70,         90.03,   11028.83
      81,             9257730.90,        106.30,   10308.50
      82,             9355352.90,         97.62,    6737.36
      83,             9454527.00,         99.17,    6812.86
      84,             9547068.80,         92.54,    6625.75
      85,             9638906.80,         91.84,    6770.90
      86,             9734060.00,         95.15,    6588.24
      87,             9824283.90,         90.22,    5201.50
      88,             9918567.40,         94.28,    6157.02
      89,            10009030.70,         90.46,    6149.85
      90,            10107639.80,         98.61,    6610.50
      91,            10207647.60,        100.01,    6409.41
      92,            10297761.20,         90.11,    5449.66
      93,            10388591.50,         90.83,    6369.60
      94,            10478604.10,         90.01,    8871.24
      95,            10568632.60,         90.03,   11068.95
      96,            10658725.00,         90.09,    9549.66
      97,            10757631.50,         98.91,    9287.35
      98,            10857756.20,        100.12,    8183.76
      99,            10947918.30,         90.16,    7092.40
     100,            11041030.20,         93.11,    8393.06
     101,            11138184.00,         97.15,    9409.66
     102,            11240958.00,        102.77,    9369.60
     103,            11337338.90,         96.38,    8217.31
     104,            11427802.00,         90.46,    8245.47
     105,            11522894.00,         95.09,    8614.96
     106,            11622782.70,         99.89,   10135.18
     107,            11718156.20,         95.37,    7563.04
     108,            11808531.30,         90.38,    8454.75
     109,            11901119.40,         92.59,    7979.76
     110,            11991121.30,         90.00,    8232.11
     111,            12090974.40,         99.85,   10245.15
     112,            12185926.10,         94.95,    5484.39
     113,            12276411.60,         90.49,    8486.93
     114,            12368191.80,         91.78,    6747.24
     115,            12459809.00,         91.62,    7689.25
     116,            12550388.00,         90.58,    5722.19
     117,            12640395.60,         90.01,    6798.06
