--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_resnet50_fp32 

Program Started: N/A
Data Collection Started: 2026-05-03 17:34:34 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 33.2805
Collection begin timestamp: 5619998553
Collection end timestamp: 5952797622

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              144454.00,        144.45,        0.0
       2,              234679.30,         90.23,      464.1
       3,              325504.80,         90.83,      493.5
       4,              418245.80,         92.74,      476.7
       5,              519526.10,        101.28,      579.3
       6,              621116.10,        101.59,      479.7
       7,              717565.30,         96.45,      500.2
       8,              808081.60,         90.52,      413.1
       9,              905634.70,         97.55,      389.8
      10,              999739.10,         94.10,      470.2
      11,             1090614.50,         90.88,      442.8
      12,             1188238.40,         97.62,      545.2
      13,             1278787.90,         90.55,      441.2
      14,             1370190.40,         91.40,      474.5
      15,             1469684.50,         99.49,      481.9
      16,             1561313.60,         91.63,      573.1
      17,             1651996.10,         90.68,     1102.1
      18,             1742081.30,         90.09,      827.9
      19,             1834342.80,         92.26,      723.5
      20,             1925434.10,         91.09,      586.9
      21,             2022189.60,         96.76,      638.7
      22,             2120304.10,         98.11,      713.4
      23,             2222243.60,        101.94,      666.2
      24,             2322251.90,        100.01,      806.7
      25,             2422299.20,        100.05,      624.1
      26,             2522204.60,         99.91,      546.3
      27,             2618476.50,         96.27,      575.4
      28,             2710888.40,         92.41,      497.4
      29,             2805840.30,         94.95,      666.1
      30,             2905525.00,         99.68,      676.9
      31,             3002006.30,         96.48,      682.4
      32,             3092032.10,         90.03,      557.7
      33,             3182710.10,         90.68,      646.8
      34,             3272788.30,         90.08,      483.8
      35,             3366871.00,         94.08,      621.4
      36,             3457222.20,         90.35,     1026.0
      37,             3550319.90,         93.10,      650.9
      38,             3640320.60,         90.00,      440.9
      39,             3731207.10,         90.89,      409.1
      40,             3822922.80,         91.72,      455.9
      41,             3920864.00,         97.94,      481.9
      42,             4022820.00,        101.96,      456.1
      43,             4122992.70,        100.17,      485.2
      44,             4213070.90,         90.08,      429.3
      45,             4303741.20,         90.67,      627.0
      46,             4395129.70,         91.39,      658.1
      47,             4485231.40,         90.10,      650.3
      48,             4576270.50,         91.04,      632.2
      49,             4670250.80,         93.98,      629.2
      50,             4761818.80,         91.57,      610.3
      51,             4855559.20,         93.74,      546.3
      52,             4946278.90,         90.72,      573.1
      53,             5038941.30,         92.66,      631.5
      54,             5134421.70,         95.48,      606.4
      55,             5224593.40,         90.17,      595.3
      56,             5319970.70,         95.38,      575.4
      57,             5410843.30,         90.87,      663.4
      58,             5501510.20,         90.67,      607.1
      59,             5591704.40,         90.19,      633.6
      60,             5681885.70,         90.18,      640.1
