--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_hw_comp_resnet50_int8 

Program Started: N/A
Data Collection Started: 2026-05-03 17:35:09 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 27.7435
Collection begin timestamp: 5970261621
Collection end timestamp: 6247689469

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              152877.10,        152.88,        0.0
       2,              243376.40,         90.50,      419.4
       3,              335189.20,         91.81,      507.6
       4,              427630.40,         92.44,      381.8
       5,              526863.50,         99.23,      507.4
       6,              617846.70,         90.98,      411.3
       7,              712036.70,         94.19,      437.9
       8,              803175.00,         91.14,      451.0
       9,              893597.80,         90.42,      332.0
      10,              984443.70,         90.85,      434.9
      11,             1079421.90,         94.98,      369.5
      12,             1176780.40,         97.36,      395.1
      13,             1266842.90,         90.06,      429.3
      14,             1362373.90,         95.53,      436.2
      15,             1460695.60,         98.32,      441.3
      16,             1551121.80,         90.43,      455.3
      17,             1642614.60,         91.49,      721.5
      18,             1733166.00,         90.55,     1016.9
      19,             1826664.70,         93.50,      718.6
      20,             1925403.00,         98.74,      770.2
      21,             2022367.60,         96.96,      631.8
      22,             2112680.20,         90.31,      611.4
      23,             2212729.80,        100.05,      650.1
      24,             2307174.30,         94.44,      581.5
      25,             2397247.60,         90.07,      591.7
      26,             2487728.40,         90.48,      592.4
      27,             2579477.30,         91.75,      606.9
      28,             2673961.20,         94.48,      645.6
      29,             2764294.10,         90.33,      571.5
      30,             2862697.40,         98.40,      619.4
      31,             2953180.80,         90.48,      486.4
      32,             3046136.80,         92.96,      629.9
      33,             3146014.90,         99.88,      652.4
      34,             3245311.70,         99.30,      567.0
      35,             3336042.40,         90.73,      501.0
      36,             3427600.60,         91.56,      439.6
      37,             3517969.40,         90.37,      460.4
      38,             3613125.20,         95.16,      412.5
      39,             3713046.40,         99.92,      451.4
      40,             3813032.40,         99.99,      434.6
      41,             3903556.40,         90.52,      422.7
      42,             3994818.20,         91.26,      418.9
      43,             4095667.20,        100.85,      403.6
      44,             4188147.80,         92.48,      403.8
      45,             4279532.80,         91.39,      597.2
      46,             4373788.40,         94.26,      561.6
      47,             4464008.70,         90.22,      655.3
      48,             4562246.00,         98.24,      740.5
      49,             4657751.80,         95.51,      618.5
      50,             4749448.00,         91.70,      572.7
      51,             4842348.10,         92.90,      546.1
      52,             4944118.40,        101.77,      688.8
      53,             5040690.70,         96.57,      705.4
      54,             5131818.00,         91.13,      682.7
      55,             5223590.80,         91.77,      599.5
      56,             5313663.20,         90.07,      642.6
      57,             5406913.30,         93.25,      567.6
      58,             5498471.60,         91.56,      632.4
      59,             5592534.70,         94.06,      520.0
      60,             5683506.60,         90.97,      547.2
