--------------------------------------------------------------------------
Intel(R) SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Driver Version 2.20.5 [Mar 12 2026]
Post Processed using SoC Watch for Windows* OS Version 2026.2.ww12-pre-release [Mar 17 2026]
Post Processed Build Ref: 8924bb08e273e7b4345df1d973daa169f1f297ac
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------

Command line options: -f power -r int -o results\energy_log_scalability 

Program Started: N/A
Data Collection Started: 2026-05-03 17:27:43 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 2995.2
Collection duration (sec): 9.45599
Collection begin timestamp: 1509343482
Collection end timestamp: 1603892539

System Name: MATEBOOK
Operating System: Windows 11 [11.0 build 26200.8246]
CPU: Meteor Lake
CPU ID (family.model.stepping): 0x6.0xaa.0x4
Platform ID: 0b111
Integrated GPU Device ID: 0x7d55
Intel(R) PMT: Meteor Lake SoCN (0x130670b2)
Intel(R) PMT: Meteor Lake SoCN Fixed (0x130671b2)
Intel(R) PMT: Meteor Lake CDie (0x1a067002)
Intel(R) PMT: Meteor Lake CDie Fixed (0x1a067102)
PCH: Meteor Lake SOC-M/P (MTSOC-MP)
PCH: Meteor Lake IOE-P (MTIOE-P)
EDRAM Present: No 
Total # of packages: 1 
Total # of cores: 14 
Total # of logical processors: 18

CPU native model:
Package_0/Core_0 = RWC (P Core)
Package_0/Core_1 = CMT (E Core)
Package_0/Core_2 = CMT (E Core)
Package_0/Core_3 = CMT (E Core)
Package_0/Core_4 = CMT (E Core)
Package_0/Core_5 = CMT (E Core)
Package_0/Core_6 = CMT (E Core)
Package_0/Core_7 = CMT (E Core)
Package_0/Core_8 = CMT (E Core)
Package_0/Core_9 = RWC (P Core)
Package_0/Core_10 = RWC (P Core)
Package_0/Core_11 = RWC (P Core)
Package_0/Core_12 = CMT (LPE Core)
Package_0/Core_13 = CMT (LPE Core)
NOTE: Hyper-V is enabled on this system.
NOTE: Virtual Secure Mode is enabled on this system.
NOTE: Hypervisor Enforced Code Integrity is enabled on this system.

Package Power - CPU/Package_0
Sample #, Continuous Time (usec), Duration (ms), Power (mJ)
       1,              133332.10,        133.33,        0.0
       2,              223450.70,         90.12,      373.2
       3,              313556.50,         90.11,      479.1
       4,              403786.70,         90.23,      496.3
       5,              497704.90,         93.92,      401.7
       6,              587704.90,         90.00,      571.9
       7,              678020.00,         90.32,      477.2
       8,              770219.10,         92.20,      393.9
       9,              870516.60,        100.30,      378.6
      10,              960870.20,         90.35,      484.8
      11,             1052328.40,         91.46,      417.8
      12,             1145184.50,         92.86,      464.4
      13,             1236341.60,         91.16,      457.0
      14,             1336856.10,        100.51,      491.2
      15,             1433220.10,         96.36,      420.3
      16,             1525464.60,         92.24,      496.2
      17,             1618821.10,         93.36,      458.0
      18,             1710837.90,         92.02,      483.2
      19,             1803111.10,         92.27,      380.6
      20,             1897963.60,         94.85,      424.1
      21,             1988026.60,         90.06,      458.4
      22,             2084199.70,         96.17,      444.1
      23,             2176946.50,         92.75,      443.2
      24,             2267945.70,         91.00,      469.2
      25,             2366087.70,         98.14,      464.7
      26,             2457298.60,         91.21,      408.1
      27,             2553397.60,         96.10,      463.4
      28,             2645215.90,         91.82,      432.3
      29,             2735234.80,         90.02,      495.1
      30,             2825724.50,         90.49,      795.2
      31,             2917169.90,         91.45,      823.8
      32,             3007816.40,         90.65,      532.8
      33,             3097966.90,         90.15,      559.5
      34,             3188179.20,         90.21,      566.6
      35,             3286631.20,         98.45,      663.8
      36,             3376867.70,         90.24,      590.1
      37,             3467683.00,         90.82,      617.9
      38,             3562165.00,         94.48,      648.6
      39,             3652366.50,         90.20,      952.0
      40,             3744820.00,         92.45,      647.6
      41,             3836764.30,         91.94,      840.3
      42,             3927668.10,         90.90,      751.6
      43,             4020000.50,         92.33,      852.5
      44,             4112077.80,         92.08,      748.6
      45,             4203354.10,         91.28,      682.5
      46,             4293371.50,         90.02,      779.4
      47,             4386668.50,         93.30,      664.9
      48,             4477601.70,         90.93,      727.5
      49,             4570095.60,         92.49,      587.9
      50,             4661426.30,         91.33,      712.4
      51,             4753321.20,         91.89,      498.7
      52,             4845085.60,         91.76,      618.4
      53,             4935601.70,         90.52,      591.5
      54,             5025817.90,         90.22,      501.2
      55,             5120020.70,         94.20,      637.2
      56,             5210278.10,         90.26,      666.4
      57,             5300376.30,         90.10,      589.5
      58,             5391597.10,         91.22,      590.5
      59,             5485843.90,         94.25,      609.1
      60,             5577328.30,         91.48,      712.2
      61,             5667531.30,         90.20,      548.9
      62,             5759804.30,         92.27,      611.7
      63,             5853416.00,         93.61,      633.5
      64,             5944889.10,         91.47,      623.2
      65,             6035825.90,         90.94,      579.7
      66,             6127967.20,         92.14,      589.4
      67,             6220054.30,         92.09,      668.9
      68,             6319981.70,         99.93,      673.2
      69,             6415011.90,         95.03,      631.0
      70,             6505108.60,         90.10,      659.7
      71,             6603406.00,         98.30,      654.2
      72,             6703284.20,         99.88,      674.7
      73,             6803328.40,        100.04,      651.6
      74,             6896237.10,         92.91,      633.0
      75,             6986633.50,         90.40,      582.1
      76,             7077378.60,         90.75,      701.9
      77,             7169976.80,         92.60,      682.4
      78,             7260171.70,         90.19,      550.7
      79,             7350413.80,         90.24,      709.5
      80,             7453335.80,        102.92,      872.2
      81,             7543445.50,         90.11,      601.3
      82,             7633735.50,         90.29,      659.1
      83,             7726901.40,         93.17,      719.1
      84,             7820453.20,         93.55,      655.4
      85,             7912241.70,         91.79,      440.3
      86,             8003519.20,         91.28,      529.4
      87,             8103656.10,        100.14,      487.3
      88,             8193908.10,         90.25,      493.0
      89,             8285605.10,         91.70,      442.9
      90,             8387094.00,        101.49,      463.7
      91,             8477464.40,         90.37,      399.0
      92,             8570250.90,         92.79,      527.8
      93,             8670079.90,         99.83,      489.7
      94,             8760120.40,         90.04,      465.9
      95,             8853440.60,         93.32,      488.9
      96,             8948719.70,         95.28,      556.8
      97,             9038974.90,         90.26,      519.3
      98,             9137210.10,         98.24,      586.1
      99,             9231350.60,         94.14,      499.9
     100,             9321356.10,         90.01,      481.3
     101,             9420113.00,         98.76,      860.4
     102,             9428148.90,          8.04,       54.1

Package Power - CPU/Package_0 : Instantaneous rate
Sample #, Continuous Time (usec), Duration (ms), Power (mW)
       1,              133332.10,        133.33,       0.00
       2,              223450.70,         90.12,    4140.86
       3,              313556.50,         90.11,    5316.69
       4,              403786.70,         90.23,    5500.80
       5,              497704.90,         93.92,    4277.48
       6,              587704.90,         90.00,    6354.44
       7,              678020.00,         90.32,    5284.10
       8,              770219.10,         92.20,    4271.84
       9,              870516.60,        100.30,    3774.78
      10,              960870.20,         90.35,    5365.61
      11,             1052328.40,         91.46,    4568.05
      12,             1145184.50,         92.86,    5001.46
      13,             1236341.60,         91.16,    5013.67
      14,             1336856.10,        100.51,    4886.97
      15,             1433220.10,         96.36,    4362.10
      16,             1525464.60,         92.24,    5379.35
      17,             1618821.10,         93.36,    4906.01
      18,             1710837.90,         92.02,    5251.38
      19,             1803111.10,         92.27,    4124.87
      20,             1897963.60,         94.85,    4470.86
      21,             1988026.60,         90.06,    5090.16
      22,             2084199.70,         96.17,    4617.63
      23,             2176946.50,         92.75,    4779.00
      24,             2267945.70,         91.00,    5155.84
      25,             2366087.70,         98.14,    4735.20
      26,             2457298.60,         91.21,    4474.04
      27,             2553397.60,         96.10,    4821.89
      28,             2645215.90,         91.82,    4707.68
      29,             2735234.80,         90.02,    5499.47
      30,             2825724.50,         90.49,    8787.36
      31,             2917169.90,         91.45,    9008.56
      32,             3007816.40,         90.65,    5877.51
      33,             3097966.90,         90.15,    6206.39
      34,             3188179.20,         90.21,    6280.62
      35,             3286631.20,         98.45,    6742.56
      36,             3376867.70,         90.24,    6540.02
      37,             3467683.00,         90.82,    6804.14
      38,             3562165.00,         94.48,    6865.02
      39,             3652366.50,         90.20,   10554.44
      40,             3744820.00,         92.45,    7004.42
      41,             3836764.30,         91.94,    9139.58
      42,             3927668.10,         90.90,    8267.94
      43,             4020000.50,         92.33,    9233.37
      44,             4112077.80,         92.08,    8130.08
      45,             4203354.10,         91.28,    7477.24
      46,             4293371.50,         90.02,    8658.54
      47,             4386668.50,         93.30,    7126.89
      48,             4477601.70,         90.93,    8000.14
      49,             4570095.60,         92.49,    6355.99
      50,             4661426.30,         91.33,    7800.25
      51,             4753321.20,         91.89,    5426.39
      52,             4845085.60,         91.76,    6739.09
      53,             4935601.70,         90.52,    6534.66
      54,             5025817.90,         90.22,    5555.10
      55,             5120020.70,         94.20,    6764.20
      56,             5210278.10,         90.26,    7383.13
      57,             5300376.30,         90.10,    6543.29
      58,             5391597.10,         91.22,    6472.80
      59,             5485843.90,         94.25,    6463.15
      60,             5577328.30,         91.48,    7785.14
      61,             5667531.30,         90.20,    6085.04
      62,             5759804.30,         92.27,    6629.18
      63,             5853416.00,         93.61,    6767.14
      64,             5944889.10,         91.47,    6812.59
      65,             6035825.90,         90.94,    6374.89
      66,             6127967.20,         92.14,    6396.88
      67,             6220054.30,         92.09,    7263.60
      68,             6319981.70,         99.93,    6737.07
      69,             6415011.90,         95.03,    6639.80
      70,             6505108.60,         90.10,    7322.45
      71,             6603406.00,         98.30,    6655.06
      72,             6703284.20,         99.88,    6755.05
      73,             6803328.40,        100.04,    6512.62
      74,             6896237.10,         92.91,    6813.09
      75,             6986633.50,         90.40,    6439.33
      76,             7077378.60,         90.75,    7734.90
      77,             7169976.80,         92.60,    7369.18
      78,             7260171.70,         90.19,    6105.89
      79,             7350413.80,         90.24,    7861.88
      80,             7453335.80,        102.92,    8474.30
      81,             7543445.50,         90.11,    6672.50
      82,             7633735.50,         90.29,    7300.02
      83,             7726901.40,         93.17,    7718.01
      84,             7820453.20,         93.55,    7005.70
      85,             7912241.70,         91.79,    4796.98
      86,             8003519.20,         91.28,    5800.10
      87,             8103656.10,        100.14,    4866.38
      88,             8193908.10,         90.25,    5462.95
      89,             8285605.10,         91.70,    4830.39
      90,             8387094.00,        101.49,    4568.82
      91,             8477464.40,         90.37,    4415.69
      92,             8570250.90,         92.79,    5688.67
      93,             8670079.90,         99.83,    4905.24
      94,             8760120.40,         90.04,    5174.81
      95,             8853440.60,         93.32,    5238.86
      96,             8948719.70,         95.28,    5843.49
      97,             9038974.90,         90.26,    5753.54
      98,             9137210.10,         98.24,    5966.50
      99,             9231350.60,         94.14,    5310.56
     100,             9321356.10,         90.01,    5347.03
     101,             9420113.00,         98.76,    8712.43
     102,             9428148.90,          8.04,    6737.04

