model,CPU_fp32,CPU_int8,GPU_fp32,GPU_int8,NPU_fp32,NPU_int8,npu_vs_cpu_speedup,npu_vs_gpu_speedup
vit-tiny_fp32,121.0353,,6.418033333333334,,9.150633333333333,,13.226986110251021,0.701375861051512
resnet50_fp32,33.324133333333336,,11.013566666666668,,3.9189333333333334,,8.503368263473055,2.810348053892216
mobilenetv2_fp32,10.013233333333332,,2.252966666666667,,1.9745,,5.071275428378492,1.1410314847640755
efficientnet-b0_fp32,15.770033333333336,,3.2139,,4.054133333333334,,3.88986548707492,0.7927464974018286
GIN_fp32,46.541599999999995,,40.871,,42.29163333333333,,1.1004919018655384,0.966408643474793
bert-tiny_fp32,6.683,,,,6.381333333333333,,1.0472732971165901,
GAT_fp32,11.0933,,8.5113,,10.603700000000002,,1.0461725624074614,0.8026726519988305
APPNP_fp32,12.1519,,8.091733333333332,,11.9315,,1.0184721116372626,0.6781824023243793
GraphTransformer_fp32,11.554233333333334,,6.468966666666667,,11.4651,,1.0077743180027505,0.5642311594898141
GATv2_fp32,13.903633333333334,,8.845933333333333,,13.842866666666666,,1.004389745861888,0.6390246721536483
GraphSAGE_fp32,48.9763,,52.61483333333333,,49.9025,,0.9814398076248685,1.0543526543426347
SGC_fp32,86.33306666666665,,112.45086666666667,,88.3181,,0.9775240484868521,1.273248254510306
APPNP_int8,,13.181066666666666,,7.4818999999999996,,13.066366666666667,,
GCN_fp32,,,7.4088,,8.3257,,,0.8898711219477042
GCN_int8,,,,,,8.413166666666667,,
GIN_int8,,48.480133333333335,,39.0043,,42.677533333333336,,
GraphSAGE_int8,,47.125400000000006,,39.342800000000004,,48.6181,,
GraphTransformer_int8,,9.891933333333334,,6.097,,9.3833,,
MPNN_fp32,20.627066666666668,,19.831566666666667,,,,,
MPNN_int8,,32.47553333333334,,31.391333333333332,,,,
SGC_int8,,179.2141,,111.00066666666665,,175.85680000000002,,
bert-tiny_int8,,9.652133333333333,,,,9.280366666666668,,
efficientnet-b0_int8,,13.575866666666665,,3.3229,,12.685733333333333,,
mobilenetv2_int8,,6.2298,,2.2220333333333335,,6.149133333333334,,
resnet50_int8,,20.31013333333333,,6.3638,,4.9611,,
