model,dataset,device,precision,mean_ms,std_ms,p95_ms
APPNP,ogbn-arxiv,CPU,fp32,11.0428,0.092,
APPNP,ogbn-arxiv,CPU,int8,13.5042,0.1386,
APPNP,ogbn-arxiv,GPU,fp32,7.7216,0.2805,
APPNP,ogbn-arxiv,GPU,int8,6.7482,0.2161,
APPNP,ogbn-arxiv,NPU,fp32,11.1742,0.0832,
APPNP,ogbn-arxiv,NPU,int8,13.3864,0.0615,
APPNP,ogbn-products,CPU,fp32,11.9488,0.2743,
APPNP,ogbn-products,CPU,int8,13.9011,0.132,
APPNP,ogbn-products,GPU,fp32,7.624,0.096,
APPNP,ogbn-products,GPU,int8,7.088,0.0669,
APPNP,ogbn-products,NPU,fp32,11.2668,0.2181,
APPNP,ogbn-products,NPU,int8,14.5981,1.1412,
APPNP,ogbn-proteins,CPU,fp32,12.5782,0.2243,
APPNP,ogbn-proteins,CPU,int8,15.2631,0.865,
APPNP,ogbn-proteins,GPU,fp32,7.8645,0.2784,
APPNP,ogbn-proteins,GPU,int8,6.9409,0.1284,
APPNP,ogbn-proteins,NPU,fp32,12.5671,0.7115,
APPNP,ogbn-proteins,NPU,int8,14.6727,0.3689,
bert-tiny,ogbn-arxiv,CPU,fp32,5.7237,0.0277,
bert-tiny,ogbn-arxiv,CPU,int8,8.317,0.0928,
bert-tiny,ogbn-arxiv,NPU,fp32,5.6519,0.0839,
bert-tiny,ogbn-arxiv,NPU,int8,8.4663,0.4389,
bert-tiny,ogbn-products,CPU,fp32,6.578,0.3146,
bert-tiny,ogbn-products,CPU,int8,8.8366,0.2066,
bert-tiny,ogbn-products,NPU,fp32,6.0734,0.404,
bert-tiny,ogbn-products,NPU,int8,8.6646,0.3563,
bert-tiny,ogbn-proteins,CPU,fp32,6.199,0.2184,
bert-tiny,ogbn-proteins,CPU,int8,8.6291,0.366,
bert-tiny,ogbn-proteins,NPU,fp32,5.9423,0.1809,
bert-tiny,ogbn-proteins,NPU,int8,8.4884,0.3292,
efficientnet-b0,ogbn-arxiv,CPU,fp32,13.6711,0.1682,
efficientnet-b0,ogbn-arxiv,GPU,fp32,3.0572,0.1205,
efficientnet-b0,ogbn-arxiv,NPU,fp32,4.0882,0.0795,
efficientnet-b0,ogbn-products,CPU,fp32,13.82,0.0591,
efficientnet-b0,ogbn-products,GPU,fp32,3.0529,0.0609,
efficientnet-b0,ogbn-products,NPU,fp32,4.0163,0.0422,
efficientnet-b0,ogbn-proteins,CPU,fp32,14.0089,0.8323,
efficientnet-b0,ogbn-proteins,GPU,fp32,3.1378,0.0955,
efficientnet-b0,ogbn-proteins,NPU,fp32,3.9865,0.0677,
GAT,ogbn-arxiv,CPU,fp32,10.6552,0.3533,
GAT,ogbn-arxiv,GPU,fp32,8.1673,0.0792,
GAT,ogbn-arxiv,NPU,fp32,10.3137,0.1324,
GAT,ogbn-products,CPU,fp32,10.2736,0.1588,
GAT,ogbn-products,GPU,fp32,8.7277,0.3956,
GAT,ogbn-products,NPU,fp32,10.1969,0.2171,
GAT,ogbn-proteins,CPU,fp32,10.9441,0.5623,
GAT,ogbn-proteins,GPU,fp32,8.6579,0.1368,
GAT,ogbn-proteins,NPU,fp32,10.9913,0.64,
GATv2,ogbn-arxiv,CPU,fp32,13.1718,0.178,
GATv2,ogbn-arxiv,GPU,fp32,8.1809,0.0219,
GATv2,ogbn-arxiv,NPU,fp32,13.0603,0.1515,
GATv2,ogbn-products,CPU,fp32,14.0197,1.7205,
GATv2,ogbn-products,GPU,fp32,8.7195,0.2413,
GATv2,ogbn-products,NPU,fp32,13.0492,0.7161,
GATv2,ogbn-proteins,CPU,fp32,13.7023,0.7706,
GATv2,ogbn-proteins,GPU,fp32,9.0269,0.1397,
GATv2,ogbn-proteins,NPU,fp32,13.5048,0.845,
GCN,ogbn-arxiv,GPU,fp32,7.3015,0.1355,
GCN,ogbn-arxiv,NPU,fp32,7.7625,0.178,
GCN,ogbn-arxiv,NPU,int8,7.1925,0.1614,
GCN,ogbn-products,NPU,fp32,7.8523,0.7661,
