section,model,metric,value
int8_speedup,APPNP,mean,0.9241500995089914
int8_speedup,APPNP,median,0.8564953962120128
int8_speedup,APPNP,min,0.7717990697419527
int8_speedup,APPNP,max,1.1442458729735336
int8_speedup,bert-tiny,mean,0.7032582775197618
int8_speedup,bert-tiny,median,0.7004967752839595
int8_speedup,bert-tiny,min,0.6675761548728488
int8_speedup,bert-tiny,max,0.7444039562727746
int8_speedup,GCN,mean,1.0906994678144535
int8_speedup,GCN,median,1.0880584714735404
int8_speedup,GCN,min,1.0792492179353494
int8_speedup,GCN,max,1.1047907140344706
int8_speedup,GIN,mean,1.0286630612702397
int8_speedup,GIN,median,1.0252701247179348
int8_speedup,GIN,min,0.9494755589808176
int8_speedup,GIN,max,1.0720938039374126
int8_speedup,GraphSAGE,mean,1.139497359645053
int8_speedup,GraphSAGE,median,1.0314371468760437
int8_speedup,GraphSAGE,min,1.0020941296816346
int8_speedup,GraphSAGE,max,1.4145744331252057
int8_speedup,GraphTransformer,mean,1.1542286864598825
int8_speedup,GraphTransformer,median,1.172834002080547
int8_speedup,GraphTransformer,min,1.0395538590839053
int8_speedup,GraphTransformer,max,1.25971247074557
int8_speedup,mobilenetv2,mean,0.9321824996466765
int8_speedup,mobilenetv2,median,1.0280542986425338
int8_speedup,mobilenetv2,min,0.3312581063553826
int8_speedup,mobilenetv2,max,1.4810406247859151
int8_speedup,SGC,mean,0.6809156358078357
int8_speedup,SGC,median,0.536988569379628
int8_speedup,SGC,min,0.5122229782270606
int8_speedup,SGC,max,1.0091166605309445
cpu_fallback,APPNP,ratio,0.0
cpu_fallback,bert-tiny,ratio,0.004728684148941673
cpu_fallback,efficientnet-b0,ratio,0.0
cpu_fallback,GAT,ratio,0.0
cpu_fallback,GATv2,ratio,0.0
cpu_fallback,GCN,ratio,0.0
cpu_fallback,GIN,ratio,0.0
cpu_fallback,GraphSAGE,ratio,0.0
cpu_fallback,GraphTransformer,ratio,0.0
cpu_fallback,mobilenetv2,ratio,0.0
cpu_fallback,SGC,ratio,0.0
cpu_fallback,vit-tiny,ratio,0.0
energy,APPNP,error,socwatch_disabled
energy,bert-tiny,error,socwatch_disabled
energy,efficientnet-b0,error,socwatch_disabled
energy,GAT,error,socwatch_disabled
energy,GATv2,error,socwatch_disabled
energy,GCN,error,socwatch_disabled
energy,GIN,error,socwatch_disabled
energy,GraphSAGE,error,socwatch_disabled
energy,GraphTransformer,error,socwatch_disabled
energy,mobilenetv2,error,socwatch_disabled
energy,MPNN,error,socwatch_disabled
energy,resnet50,error,socwatch_disabled
energy,SGC,error,socwatch_disabled
energy,vit-tiny,error,socwatch_disabled
