model,dataset,device,fp32_ms,int8_ms,speedup,status
APPNP,ogbn-arxiv,CPU,11.0428,13.5042,0.8177307800536129,
APPNP,ogbn-arxiv,GPU,7.7216,6.7482,1.1442458729735336,
APPNP,ogbn-arxiv,NPU,11.1742,13.3864,0.8347427239586447,
APPNP,ogbn-products,CPU,11.9488,13.9011,0.8595578767147924,
APPNP,ogbn-products,GPU,7.624,7.088,1.0756207674943563,
APPNP,ogbn-products,NPU,11.2668,14.5981,0.7717990697419527,
APPNP,ogbn-proteins,CPU,12.5782,15.2631,0.824092091383795,
APPNP,ogbn-proteins,GPU,7.8645,6.9409,1.1330663170482214,
APPNP,ogbn-proteins,NPU,12.5671,14.6727,0.8564953962120128,
GAT,ogbn-arxiv,CPU,10.6552,,,
GAT,ogbn-arxiv,GPU,8.1673,,,
GAT,ogbn-arxiv,NPU,10.3137,,,
GAT,ogbn-products,CPU,10.2736,,,
GAT,ogbn-products,GPU,8.7277,,,
GAT,ogbn-products,NPU,10.1969,,,
GAT,ogbn-proteins,CPU,10.9441,,,
GAT,ogbn-proteins,GPU,8.6579,,,
GAT,ogbn-proteins,NPU,10.9913,,,
GATv2,ogbn-arxiv,CPU,13.1718,,,
GATv2,ogbn-arxiv,GPU,8.1809,,,
GATv2,ogbn-arxiv,NPU,13.0603,,,
GATv2,ogbn-products,CPU,14.0197,,,
GATv2,ogbn-products,GPU,8.7195,,,
GATv2,ogbn-products,NPU,13.0492,,,
GATv2,ogbn-proteins,CPU,13.7023,,,
GATv2,ogbn-proteins,GPU,9.0269,,,
GATv2,ogbn-proteins,NPU,13.5048,,,
GCN,ogbn-arxiv,GPU,7.3015,,,
GCN,ogbn-arxiv,NPU,7.7625,7.1925,1.0792492179353494,
GCN,ogbn-products,GPU,,,,
GCN,ogbn-products,NPU,7.8523,7.1075,1.1047907140344706,
GCN,ogbn-proteins,GPU,,,,
GCN,ogbn-proteins,NPU,8.0537,7.4019,1.0880584714735404,
GIN,ogbn-arxiv,CPU,44.6507,42.4014,1.0530477767243531,
GIN,ogbn-arxiv,GPU,36.3013,33.9604,1.0689302835066723,
GIN,ogbn-arxiv,NPU,43.0036,42.2579,1.0176464045776057,
GIN,ogbn-products,CPU,39.8112,39.6175,1.0048892534864644,
GIN,ogbn-products,GPU,36.4893,34.2623,1.0649985552633652,
GIN,ogbn-products,NPU,40.4093,42.5596,0.9494755589808176,
GIN,ogbn-proteins,CPU,42.0736,41.0366,1.0252701247179348,
GIN,ogbn-proteins,GPU,36.0885,33.6617,1.0720938039374126,
GIN,ogbn-proteins,NPU,41.4088,41.342,1.001615790237531,
GraphSAGE,ogbn-arxiv,CPU,43.6954,42.5428,1.0270927160412573,
GraphSAGE,ogbn-arxiv,GPU,51.6546,36.516,1.4145744331252057,
GraphSAGE,ogbn-arxiv,NPU,43.8499,42.5134,1.0314371468760437,
GraphSAGE,ogbn-products,CPU,41.0843,39.9009,1.0296584788814287,
GraphSAGE,ogbn-products,GPU,48.8968,36.3582,1.3448630570270257,
GraphSAGE,ogbn-products,NPU,41.0089,39.336,1.0425284726459223,
GraphSAGE,ogbn-proteins,CPU,41.4853,41.038,1.010899653979239,
GraphSAGE,ogbn-proteins,GPU,48.6354,35.9642,1.3523281485477223,
GraphSAGE,ogbn-proteins,NPU,41.536,41.4492,1.0020941296816346,
GraphTransformer,ogbn-arxiv,CPU,11.3034,8.973,1.25971247074557,
GraphTransformer,ogbn-arxiv,GPU,6.0835,5.777,1.0530552189717846,
GraphTransformer,ogbn-arxiv,NPU,10.3048,8.8059,1.170215423749986,
