model,dataset,device,precision,mean_ms,std_ms,p95_ms
mobilenetv2_fp32,ogbn-arxiv,CPU,fp32,10.3189,0.6753,
mobilenetv2_fp32,ogbn-arxiv,GPU,fp32,2.351,0.2193,
mobilenetv2_fp32,ogbn-arxiv,NPU,fp32,1.9715,0.0206,
mobilenetv2_fp32,ogbn-products,CPU,fp32,9.578,0.5845,
mobilenetv2_fp32,ogbn-products,GPU,fp32,2.2626,0.1933,
mobilenetv2_fp32,ogbn-products,NPU,fp32,2.0007,0.0599,
mobilenetv2_fp32,ogbn-proteins,CPU,fp32,10.1428,0.5532,
mobilenetv2_fp32,ogbn-proteins,GPU,fp32,2.1453,0.1442,
mobilenetv2_fp32,ogbn-proteins,NPU,fp32,1.9513,0.0673,
mobilenetv2_int8,ogbn-arxiv,CPU,int8,6.2322,0.083,
mobilenetv2_int8,ogbn-arxiv,GPU,int8,2.0784,0.0628,
mobilenetv2_int8,ogbn-arxiv,NPU,int8,6.1097,0.154,
mobilenetv2_int8,ogbn-products,CPU,int8,5.9865,0.2118,
mobilenetv2_int8,ogbn-products,GPU,int8,2.1883,0.262,
mobilenetv2_int8,ogbn-products,NPU,int8,6.3387,0.4772,
mobilenetv2_int8,ogbn-proteins,CPU,int8,6.4707,0.2579,
mobilenetv2_int8,ogbn-proteins,GPU,int8,2.3994,0.0473,
mobilenetv2_int8,ogbn-proteins,NPU,int8,5.999,0.1664,
