model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
mobilenetv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,3539138,3.539138,1.8988,0.0437,1.8508,1.9361,1.7904,2.0073,1.8966,0.0144,1.8845,1.9125,2.5396,1.8608,1.9323,1.0012,0.0168,72.3444,16430377544,227113200,8663.2918,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,1.9641809523809528,2229.645,0.0,0.0,0.0,2026-05-23T12:13:48.990369
mobilenetv2_int8,ogbn-arxiv,ogbn-arxiv,int8,3589682,3.589682,5.801,0.8905,5.0706,6.793,3.589,8.0131,5.0945,0.1367,4.9404,5.2012,6.2619,4.7549,5.4341,1.1387,0.1697,48.6187,16452657480,338401736,3229.5044,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.204600000000001,3636.629,0.0,0.0,0.0,2026-05-23T12:14:07.947364
mobilenetv2_fp32,ogbn-proteins,ogbn-proteins,fp32,3539138,3.539138,1.919,0.0844,1.8407,2.0085,1.7092,2.1288,1.9262,0.0098,1.9152,1.934,2.6771,1.9019,1.9505,0.9962,0.0364,72.3444,16430377544,227113200,8529.8551,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2.007504761904762,2272.9,0.0,0.0,0.0,2026-05-23T12:14:22.615694
mobilenetv2_int8,ogbn-proteins,ogbn-proteins,int8,3589682,3.589682,5.5488,0.661,4.9606,6.2641,3.9069,7.1907,5.1804,0.1993,5.0239,5.4049,6.4796,4.6853,5.6756,1.0711,0.1256,48.6187,16452657480,338401736,3175.9148,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,5.375695238095238,3801.001,0.0,0.0,0.0,2026-05-23T12:14:41.398966
mobilenetv2_fp32,ogbn-products,ogbn-products,fp32,3539138,3.539138,2.0545,0.362,1.8001,2.4689,1.1553,2.9536,1.8857,0.0103,1.8755,1.896,2.5682,1.8601,1.9112,1.0895,0.1574,72.3444,16430377544,227113200,8713.3622,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,1.960857142857143,2256.827,0.0,0.0,0.0,2026-05-23T12:14:56.159583
mobilenetv2_int8,ogbn-products,ogbn-products,int8,3589682,3.589682,5.1283,0.2094,4.963,5.3638,4.6081,5.6486,5.8709,0.5354,5.5064,6.4856,7.5315,4.5408,7.2009,0.8735,0.0347,48.6187,16452657480,338401736,2802.4251,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,6.432352380952381,4083.217,0.0,0.0,0.0,2026-05-23T12:15:14.811215
mobilenetv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,3539138,3.539138,2.0473,0.0225,2.0216,2.0637,1.9913,2.1033,2.074,0.0621,2.0283,2.1447,2.8475,1.9198,2.2282,0.9871,0.0181,72.3444,16430377544,227113200,7921.9702,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2.0075904761904764,1875.956,0.0,0.0,0.0,2026-05-23T12:15:28.117373
mobilenetv2_int8,ogbn-arxiv,ogbn-arxiv,int8,3589682,3.589682,1.9849,0.0263,1.9655,2.0148,1.9196,2.0502,2.0064,0.0438,1.958,2.0433,2.7663,1.8976,2.1153,0.9893,0.0286,48.6187,16452657480,338401736,8199.9454,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2.002066666666667,2547.503,0.0,0.0,0.0,2026-05-23T12:15:44.681255
mobilenetv2_fp32,ogbn-proteins,ogbn-proteins,fp32,3539138,3.539138,2.0278,0.0404,1.9828,2.0606,1.9275,2.1281,2.0182,0.0344,1.991,2.0568,2.8404,1.9328,2.1036,1.0048,0.0301,72.3444,16430377544,227113200,8141.0967,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2.041390476190476,1861.745,0.0,0.0,0.0,2026-05-23T12:15:57.626785
mobilenetv2_int8,ogbn-proteins,ogbn-proteins,int8,3589682,3.589682,2.0277,0.0461,1.9785,2.07,1.913,2.1423,1.9622,0.0421,1.9182,2.0021,2.7365,1.8576,2.0668,1.0334,0.015,48.6187,16452657480,338401736,8384.7758,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,1.966904761904762,2637.692,0.0,0.0,0.0,2026-05-23T12:16:14.316302
mobilenetv2_fp32,ogbn-products,ogbn-products,fp32,3539138,3.539138,2.0006,0.029,1.9682,2.0242,1.9285,2.0728,2.0461,0.0418,1.9986,2.0774,2.8362,1.9421,2.15,0.9778,0.021,72.3444,16430377544,227113200,8030.2259,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2.050638095238096,1865.573,0.0,0.0,0.0,2026-05-23T12:16:27.169506
