mode,operator,count,total_us,avg_us,total_ms,avg_ms
baseline,model_run,105,6208626.0,59129.77142857143,6208.626,59.12977142857143
baseline,Execute,105,6204494.0,59090.41904761905,6204.494,59.09041904761905
baseline,OpenVINO-EP-subgraph_119,105,6201716.0,59063.961904761905,6201.716,59.063961904761904
baseline,session_initialization,1,70928.0,70928.0,70.928,70.928
baseline,model_loading_uri,1,44571.0,44571.0,44.571,44.571
optimized,model_run,105,6213921.0,59180.2,6213.921,59.1802
optimized,Execute,105,6208616.0,59129.67619047619,6208.616,59.12967619047619
optimized,OpenVINO-EP-subgraph_120,105,6206019.0,59104.94285714286,6206.019,59.10494285714286
optimized,session_initialization,1,72353.0,72353.0,72.353,72.353
optimized,model_loading_uri,1,36122.0,36122.0,36.122,36.122
