model,dataset,device,precision,mean_ms,std_ms,p95_ms
resnet50_fp32,ogbn-arxiv,CPU,fp32,34.1037,1.8938,
resnet50_fp32,ogbn-arxiv,GPU,fp32,11.0533,0.208,
resnet50_fp32,ogbn-arxiv,NPU,fp32,3.9485,0.1216,
resnet50_fp32,ogbn-products,CPU,fp32,33.0013,0.1071,
resnet50_fp32,ogbn-products,GPU,fp32,11.079,0.2464,
resnet50_fp32,ogbn-products,NPU,fp32,3.969,0.0513,
resnet50_fp32,ogbn-proteins,CPU,fp32,32.8674,0.1991,
resnet50_fp32,ogbn-proteins,GPU,fp32,10.9084,0.1164,
resnet50_fp32,ogbn-proteins,NPU,fp32,3.8393,0.0376,
resnet50_int8,ogbn-arxiv,CPU,int8,19.7766,0.1437,
resnet50_int8,ogbn-arxiv,GPU,int8,6.6505,0.6838,
resnet50_int8,ogbn-arxiv,NPU,int8,5.0035,0.0593,
resnet50_int8,ogbn-products,CPU,int8,20.1806,0.3652,
resnet50_int8,ogbn-products,GPU,int8,6.1945,0.1801,
resnet50_int8,ogbn-products,NPU,int8,4.9272,0.0971,
resnet50_int8,ogbn-proteins,CPU,int8,20.9732,1.2057,
resnet50_int8,ogbn-proteins,GPU,int8,6.2464,0.2055,
resnet50_int8,ogbn-proteins,NPU,int8,4.9526,0.1036,
