model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,o_total_ms_trace,o_compute_ms,o_dma_ms,o_dispatch_ms,o_cpu_fallback_pct,timestamp
resnet50_fp32,ogbn-arxiv,ogbn-arxiv,fp32,25629032,25.629032,3.9108,0.0409,3.8664,3.9469,3.8093,4.0123,3.9178,0.062,3.8801,3.9894,6.6019,3.7637,4.0719,0.9982,0.0209,18.738,7745632256,413363872,1977.0404,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,37.77335238095238,12467.497,0.0,0.0,0.0,2026-05-23T12:19:43.783240
resnet50_int8,ogbn-arxiv,ogbn-arxiv,int8,25684294,25.684294,4.8982,0.0518,4.8461,4.9497,4.7695,5.0268,4.9941,0.0849,4.9423,5.0921,7.8716,4.7833,5.205,0.9808,0.0213,11.0976,7803653312,703182702,1562.5597,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,54.94571428571427,17470.751,0.0,0.0,0.0,2026-05-23T12:20:22.888069
resnet50_fp32,ogbn-proteins,ogbn-proteins,fp32,25629032,25.629032,3.9279,0.065,3.8528,3.9658,3.7664,4.0893,3.9263,0.0841,3.8335,3.9975,6.735,3.7173,4.1354,1.0004,0.0059,18.738,7745632256,413363872,1972.7353,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,37.34325714285714,12396.817,0.0,0.0,0.0,2026-05-23T12:20:54.265169
resnet50_int8,ogbn-proteins,ogbn-proteins,int8,25684294,25.684294,4.9225,0.0741,4.8431,4.9898,4.7384,5.1067,4.9544,0.09,4.851,5.0156,7.979,4.7307,5.178,0.9936,0.0214,11.0976,7803653312,703182702,1575.1071,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,55.6508,17702.762,0.0,0.0,0.0,2026-05-23T12:21:33.433591
resnet50_fp32,ogbn-products,ogbn-products,fp32,25629032,25.629032,3.9812,0.0663,3.9067,4.0337,3.8165,4.146,3.9686,0.0275,3.9371,3.988,6.8254,3.9003,4.0369,1.0032,0.0086,18.738,7745632256,413363872,1951.7413,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,37.40835238095239,12407.06,0.0,0.0,0.0,2026-05-23T12:22:05.086437
resnet50_int8,ogbn-products,ogbn-products,int8,25684294,25.684294,4.9179,0.0836,4.869,5.0144,4.7102,5.1256,4.9936,0.0304,4.9644,5.0251,8.1061,4.918,5.0692,0.9848,0.0095,11.0976,7803653312,703182702,1562.7402,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,56.83042857142856,18010.947,0.0,0.0,0.0,2026-05-23T12:22:43.918899
resnet50_fp32,ogbn-arxiv,ogbn-arxiv,fp32,25629032,25.629032,10.8806,0.0882,10.7788,10.9353,10.6614,11.0998,10.9171,0.0755,10.8668,11.0039,11.707,10.7296,11.1047,0.9967,0.0059,18.738,7745632256,413363872,709.4936,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,12.083933333333333,6034.827,0.0,0.0,0.0,2026-05-23T12:23:09.900607
resnet50_int8,ogbn-arxiv,ogbn-arxiv,int8,25684294,25.684294,5.8239,0.0503,5.7822,5.8798,5.6989,5.949,6.0074,0.3131,5.8028,6.3678,7.4142,5.2297,6.7851,0.9695,0.0429,11.0976,7803653312,703182702,1299.0029,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.535476190476189,5182.643,0.0,0.0,0.0,2026-05-23T12:23:35.167228
resnet50_fp32,ogbn-proteins,ogbn-proteins,fp32,25629032,25.629032,10.934,0.0753,10.851,10.9979,10.7469,11.1211,10.8119,0.1099,10.6863,10.8902,11.6027,10.539,11.0848,1.0113,0.0029,18.738,7745632256,413363872,716.3992,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,11.907628571428573,5826.001,0.0,0.0,0.0,2026-05-23T12:24:00.717107
resnet50_int8,ogbn-proteins,ogbn-proteins,int8,25684294,25.684294,5.8693,0.1319,5.7631,6.017,5.5415,6.1971,5.8544,0.1018,5.785,5.9712,7.2293,5.6016,6.1072,1.0025,0.0306,11.0976,7803653312,703182702,1332.9508,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,7.199495238095238,4974.536,0.0,0.0,0.0,2026-05-23T12:24:25.400363
resnet50_fp32,ogbn-products,ogbn-products,fp32,25629032,25.629032,11.0436,0.0492,10.987,11.0757,10.9215,11.1657,10.8379,0.1118,10.7301,10.9532,11.5789,10.5603,11.1155,1.019,0.0089,18.738,7745632256,413363872,714.6803,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,11.753523809523813,6016.648,0.0,0.0,0.0,2026-05-23T12:24:51.317373
resnet50_int8,ogbn-products,ogbn-products,int8,25684294,25.684294,5.7378,0.0619,5.6847,5.8058,5.584,5.8916,5.7617,0.0967,5.6939,5.8725,6.7136,5.5214,6.002,0.9958,0.0052,11.0976,7803653312,703182702,1354.3973,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,6.905295238095239,4973.968,0.0,0.0,0.0,2026-05-23T12:25:15.695725
resnet50_fp32,ogbn-arxiv,ogbn-arxiv,fp32,25629032,25.629032,32.0056,1.87,30.84,34.1626,27.3602,36.651,31.5946,1.6975,29.9789,33.3635,39.0153,27.3779,35.8114,1.013,0.0904,18.738,7745632256,413363872,245.1566,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,32.062019047619046,11103.868,0.0,0.0,0.0,2026-05-23T12:25:46.600883
resnet50_int8,ogbn-arxiv,ogbn-arxiv,int8,25684294,25.684294,19.774,0.4848,19.4599,20.3323,18.5697,20.9782,18.6721,0.7196,17.9006,19.3249,21.3498,16.8847,20.4596,1.059,0.0232,11.0976,7803653312,703182702,417.9303,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,18.611619047619048,7128.729,0.0,0.0,0.0,2026-05-23T12:26:09.550751
resnet50_fp32,ogbn-proteins,ogbn-proteins,fp32,25629032,25.629032,31.2104,1.2596,29.7706,32.1088,28.0813,34.3395,31.2597,1.5487,29.882,32.9359,37.1159,27.4126,35.1068,0.9984,0.0696,18.738,7745632256,413363872,247.7834,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,30.53520952380952,10568.287,0.0,0.0,0.0,2026-05-23T12:26:39.993258
