model,params,params_mil,b_mean_ms,o_mean_ms,speedup,ai,flops,bytes,timestamp,avg_npu_power_w,energy_j,energy_per_inf_j,inf_per_j
APPNP_fp32,97664,0.097664,10.716153666647491,10.408723333312082,1.02953583484648,422.9051818258677,11144733984.0,26352796.0,2026-05-03T19:44:09.107749,61.519194332549006,,0.6403362734957633,1.5616794509246499
APPNP_int8,97880,0.09788,12.318490999993324,12.29540233339018,1.0018778292874926,156.23954131353608,11153741024.0,71388721.0,2026-05-03T19:44:23.367238,43.75181984381709,,0.5379462277977355,1.8589218556171268
bert-tiny_fp32,4386453,4.386453,6.084512666711817,6.194398333263962,0.9822604778317116,3.0169212876984246,110985728.0,36787744.0,2026-05-03T19:44:32.695761,39.48200604582909,,0.24456727244420137,4.08885453072284
bert-tiny_int8,4386485,4.386485,9.437487000013787,8.496002666621886,1.1108149762111892,0.4705282783092126,11453581.0,24341961.0,2026-05-03T19:44:45.287994,39.77975573005658,,0.3379689107601279,2.958852036866036
GCN_fp32,103081,0.103081,8.673911666683125,9.053849333358812,0.9580357864719694,449.0005025952853,11144715111.0,24821164.0,2026-05-03T19:44:55.129924,42.18096787765491,,0.3819001278995353,2.6184856378552075
GCN_int8,103251,0.103251,8.476017666665333,8.302318999964578,1.0209217047311114,164.37484663346123,11153321373.0,67852969.0,2026-05-03T19:45:05.571445,42.560650951175354,,0.3533521010428037,2.8300383584782023
GIN_fp32,100565,0.100565,39.83996599999955,39.36552733342372,1.0120521354269527,21.17175525623549,11234963672.0,530658112.0,2026-05-03T19:45:35.976916,57.153979983634784,,2.2498965612597273,0.4444648777275767
GIN_int8,100979,0.100979,40.097119333398346,38.58937933332224,1.0390713721268423,17.158388760005742,11260080528.0,656243467.0,2026-05-03T19:46:06.202942,50.65187104105444,,1.9546242655457695,0.5116072779955898
GraphSAGE_fp32,204406,0.204406,42.27250099998249,42.72914500000601,0.9893130555263052,42.225765589812006,22334340760.0,528926840.0,2026-05-03T19:46:38.597473,50.267196966145846,,2.1478743479103075,0.465576583179976
GraphSAGE_int8,204710,0.20471,40.45247900000201,39.51456333329892,1.0237359491687137,36.35420418993469,22351520488.0,614826290.0,2026-05-03T19:47:09.514697,50.50667851049462,,1.9957493467575076,0.5010649266275343
GraphTransformer_fp32,184512,0.184512,10.404573999979524,10.323341333338854,1.0078688347132658,446.1035329348903,44512381820.0,99780384.0,2026-05-03T19:47:21.100811,42.605494291798166,,0.43983106024985263,2.2736002305792935
GraphTransformer_int8,184866,0.184866,8.893445333342243,9.181295666706625,0.9686481795365562,290.94936373666576,44523030892.0,153026734.0,2026-05-03T19:47:32.732155,41.009477902721244,,0.3765201417621556,2.655900412976289
mobilenetv2_fp32,3539138,3.539138,2.128487999974217,2.343336000049021,0.9083153247889718,72.34444120376975,16430377544.0,227113200.0,2026-05-03T19:47:48.264804,42.09333666823053,,0.09863883117684812,10.1379952303684
mobilenetv2_int8,3589682,3.589682,7.164923000030588,6.963519333385193,1.0289226836320833,48.618714769241016,16452657480.0,338401736.0,2026-05-03T19:48:08.555568,39.61656754975797,,0.27587073405510004,3.624886138883687
resnet50_fp32,25629032,25.629032,4.263258333248814,4.012088000048,1.062603395837232,18.738048437866382,7745632256.0,413363872.0,2026-05-03T19:48:42.422768,51.654113038661336,,0.20724084707553608,4.8253035736507845
resnet50_int8,25684294,25.684294,5.266953000039696,5.256626333308911,1.0019645046225465,11.097618428048303,7803653312.0,703182702.0,2026-05-03T19:49:23.371714,49.91905326350724,,0.2624058099188023,3.8108912310647223
