model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,timestamp
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100440,0.10044,20.1965,0.2398,20.003,20.4647,19.6009,20.7921,20.2053,0.9803,19.2165,21.1768,21.9982,17.7701,22.6405,0.9996,0.0494,408.7448,16857108660,41241156,834.2902,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T13:32:54.536527
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,100656,0.100656,25.3863,0.2396,25.1211,25.5872,24.7911,25.9815,25.2757,0.2931,25.0296,25.5999,26.9519,24.5477,26.0037,1.0044,0.0088,154.6017,16870684996,109123561,667.4667,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T13:33:20.242518
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100440,0.10044,11.896,0.0799,11.8039,11.9464,11.6975,12.0945,12.2116,0.0406,12.1652,12.2408,13.5176,12.1107,12.3124,0.9742,0.0027,408.7448,16857108660,41241156,1380.4229,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:35:46.082030
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,100656,0.100656,11.2671,0.234,11.037,11.5048,10.6858,11.8484,11.2067,0.1206,11.1329,11.3459,12.4707,10.9072,11.5063,1.0054,0.01,154.6017,16870684996,109123561,1505.4068,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:36:21.283500
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100440,0.10044,21.3474,0.3149,21.0639,21.6864,20.5651,22.1297,22.0274,0.2834,21.7007,22.2071,23.5457,21.3233,22.7315,0.9691,0.0079,408.7448,16857108660,41241156,765.2787,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:39:35.306926
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,100656,0.100656,26.2844,0.3575,25.9189,26.6332,25.3964,27.1724,26.1319,0.1798,25.9245,26.2424,27.6657,25.6853,26.5785,1.0058,0.0125,154.6017,16870684996,109123561,645.597,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:39:59.650778
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,108790,0.10879,18.7559,0.0984,18.6526,18.8485,18.5115,19.0004,18.7556,0.0774,18.6712,18.8234,20.5788,18.5633,18.9479,1.0,0.0076,331.4059,16858280229,50868984,898.8395,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:43:00.365863
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,201021,0.201021,23.6234,0.1505,23.4498,23.717,23.2495,23.9974,23.6571,0.1025,23.5409,23.7345,25.838,23.4026,23.9116,0.9986,0.0079,460.2958,33713701432,73243552,1425.0968,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:43:23.040050
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,108790,0.10879,17.2673,0.0697,17.1899,17.3247,17.0943,17.4404,17.3145,0.0116,17.3026,17.3258,18.4633,17.2856,17.3434,0.9973,0.0035,331.4059,16858280229,50868984,973.6501,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:46:59.214710
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,201021,0.201021,17.7739,0.0722,17.6931,17.8322,17.5945,17.9534,17.8144,0.0371,17.7716,17.8386,19.336,17.7221,17.9067,0.9977,0.004,460.2958,33713701432,73243552,1892.4985,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:47:24.728184
